year,exp,type,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko
2043,ssp126,Widebody,38407,1017691,780197,1836295,736225,2572520
2043,ssp245,Narrowbody,917563,962308,287894,2167765,404755,2572520
2043,ssp245,Widebody,39967,1016860,779600,1836427,736093,2572520
2043,ssp370,Narrowbody,913982,965113,286766,2165861,406659,2572520
2043,ssp370,Widebody,36688,1017203,780555,1834446,738074,2572520
2043,ssp585,Narrowbody,914020,965683,285569,2165272,407248,2572520
2043,ssp585,Widebody,37051,1015715,781455,1834221,738299,2572520
2044,ssp126,Narrowbody,917733,967453,288799,2173985,405583,2579568
2044,ssp126,Widebody,38454,1020597,781036,1840087,739481,2579568
2044,ssp245,Narrowbody,918187,967241,288450,2173878,405690,2579568
2044,ssp245,Widebody,38180,1022196,779637,1840013,739555,2579568
2044,ssp370,Narrowbody,918797,966075,287742,2172614,406954,2579568
2044,ssp370,Widebody,38408,1018865,783157,1840430,739138,2579568
2044,ssp585,Narrowbody,914261,969592,287016,2170869,408699,2579568
2044,ssp585,Widebody,37385,1019107,780749,1837241,742327,2579568
2045,ssp126,Narrowbody,914305,965445,286589,2166339,406181,2572520
2045,ssp126,Widebody,38351,1014192,782027,1834570,737950,2572520
2045,ssp245,Narrowbody,915942,965416,287342,2168700,403820,2572520
2045,ssp245,Widebody,36825,1020056,779748,1836629,735891,2572520
2045,ssp370,Narrowbody,917824,962500,288307,2168631,403889,2572520
2045,ssp370,Widebody,38823,1017335,780754,1836912,735608,2572520
2045,ssp585,Narrowbody,914017,965874,285575,2165466,407054,2572520
2045,ssp585,Widebody,37208,1018858,778333,1834399,738121,2572520
2046,ssp126,Narrowbody,908989,969368,285460,2163817,408703,2572520
2046,ssp126,Widebody,37109,1014507,777856,1829472,743048,2572520
2046,ssp245,Narrowbody,911829,967602,287519,2166950,405570,2572520
2046,ssp245,Widebody,37914,1016377,777827,1832118,740402,2572520
2046,ssp370,Narrowbody,910399,967969,286596,2164964,407556,2572520
2046,ssp370,Widebody,36525,1017017,777063,1830605,741915,2572520
2046,ssp585,Narrowbody,918909,959788,287670,2166367,406153,2572520
2046,ssp585,Widebody,40341,1015126,779680,1835147,737373,2572520
2047,ssp126,Narrowbody,915496,965352,287840,2168688,403832,2572520
2047,ssp126,Widebody,36796,1017323,782345,1836464,736056,2572520
2047,ssp245,Narrowbody,911150,968279,285597,2165026,407494,2572520
2047,ssp245,Widebody,36714,1013777,780433,1830924,741596,2572520
2047,ssp370,Narrowbody,913291,965301,286642,2165234,407286,2572520
2047,ssp370,Widebody,38328,1013921,779983,1832232,740288,2572520
2047,ssp585,Narrowbody,911260,967024,287112,2165396,407124,2572520
2047,ssp585,Widebody,37805,1015895,776995,1830695,741825,2572520
2048,ssp126,Narrowbody,922835,961500,290002,2174337,405231,2579568
2048,ssp126,Widebody,42080,1016191,783681,1841952,737616,2579568
2048,ssp245,Narrowbody,918046,968885,287172,2174103,405465,2579568
2048,ssp245,Widebody,36892,1021374,783348,1841614,737954,2579568
2048,ssp370,Narrowbody,923026,961823,289120,2173969,405599,2579568
2048,ssp370,Widebody,41444,1017166,783791,1842401,737167,2579568
2048,ssp585,Narrowbody,912787,970751,287527,2171065,408503,2579568
2048,ssp585,Widebody,37523,1018538,779685,1835746,743822,2579568
2049,ssp126,Narrowbody,915397,963458,286933,2165788,406732,2572520
2049,ssp126,Widebody,39991,1014980,778535,1833506,739014,2572520
2049,ssp245,Narrowbody,914941,965524,287450,2167915,404605,2572520
2049,ssp245,Widebody,39082,1015357,780433,1834872,737648,2572520
2049,ssp370,Narrowbody,913318,965714,286942,2165974,406546,2572520
2049,ssp370,Widebody,39461,1016776,775744,1831981,740539,2572520
2049,ssp585,Narrowbody,903225,973989,283448,2160662,411858,2572520
2049,ssp585,Widebody,33864,1015414,774954,1824232,748288,2572520
2050,ssp126,Narrowbody,918914,962232,287137,2168283,404237,2572520
2050,ssp126,Widebody,39048,1014904,783523,1837475,735045,2572520
2050,ssp245,Narrowbody,914433,966452,287106,2167991,404529,2572520
2050,ssp245,Widebody,38113,1018794,778765,1835672,736848,2572520
2050,ssp370,Narrowbody,905664,972475,284899,2163038,409482,2572520
2050,ssp370,Widebody,35146,1017165,774519,1826830,745690,2572520
2050,ssp585,Narrowbody,912757,965385,286655,2164797,407723,2572520
2050,ssp585,Widebody,37160,1015000,778901,1831061,741459,2572520
2051,ssp126,Narrowbody,915244,965227,288238,2168709,403811,2572520
2051,ssp126,Widebody,38219,1016870,780563,1835652,736868,2572520
2051,ssp245,Narrowbody,915971,962294,286287,2164552,407968,2572520
2051,ssp245,Widebody,39233,1012380,782953,1834566,737954,2572520
2051,ssp370,Narrowbody,906462,970843,283910,2161215,411305,2572520
2051,ssp370,Widebody,36337,1013484,777013,1826834,745686,2572520
2051,ssp585,Narrowbody,909109,968708,286879,2164696,407824,2572520
2051,ssp585,Widebody,38112,1014784,776242,1829138,743382,2572520
2052,ssp126,Narrowbody,918001,966430,288460,2172891,406677,2579568
2052,ssp126,Widebody,37767,1019688,782680,1840135,739433,2579568
2052,ssp245,Narrowbody,916060,969616,286910,2172586,406982,2579568
2052,ssp245,Widebody,37448,1018667,782007,1838122,741446,2579568
2052,ssp370,Narrowbody,912238,970351,286338,2168927,410641,2579568
2052,ssp370,Widebody,37191,1017132,779253,1833576,745992,2579568
2052,ssp585,Narrowbody,914474,970600,286487,2171561,408007,2579568
2052,ssp585,Widebody,37663,1020703,778869,1837235,742333,2579568
2053,ssp126,Narrowbody,913585,966391,287328,2167304,405216,2572520
2053,ssp126,Widebody,37199,1015578,780663,1833440,739080,2572520
2053,ssp245,Narrowbody,908461,970824,285994,2165279,407241,2572520
2053,ssp245,Widebody,35797,1018816,776472,1831085,741435,2572520
2053,ssp370,Narrowbody,907071,970017,285798,2162886,409634,2572520
2053,ssp370,Widebody,35835,1011972,779586,1827393,745127,2572520
2053,ssp585,Narrowbody,910402,967842,285478,2163722,408798,2572520
2053,ssp585,Widebody,36422,1016345,777718,1830485,742035,2572520
2054,ssp126,Narrowbody,912073,967280,286618,2165971,406549,2572520
2054,ssp126,Widebody,36485,1017813,778024,1832322,740198,2572520
2054,ssp245,Narrowbody,912654,966619,286014,2165287,407233,2572520
2054,ssp245,Widebody,38176,1014493,778247,1830916,741604,2572520
2054,ssp370,Narrowbody,913278,964609,286133,2164020,408500,2572520
2054,ssp370,Widebody,38115,1014834,778912,1831861,740659,2572520
2054,ssp585,Narrowbody,911115,967213,285112,2163440,409080,2572520
2054,ssp585,Widebody,36519,1014982,780384,1831885,740635,2572520
2055,ssp126,Narrowbody,915003,965184,285828,2166015,406505,2572520
2055,ssp126,Widebody,37318,1017628,779882,1834828,737692,2572520
2055,ssp245,Narrowbody,917080,962422,286550,2166052,406468,2572520
2055,ssp245,Widebody,38540,1014672,782471,1835683,736837,2572520
2055,ssp370,Narrowbody,907855,970140,285983,2163978,408542,2572520
2055,ssp370,Widebody,34963,1016463,777402,1828828,743692,2572520
2055,ssp585,Narrowbody,910579,967762,285313,2163654,408866,2572520
2055,ssp585,Widebody,36385,1016615,777054,1830054,742466,2572520
2056,ssp126,Narrowbody,921120,964048,287661,2172829,406739,2579568
2056,ssp126,Widebody,38852,1017870,785042,1841764,737804,2579568
2056,ssp245,Narrowbody,916899,969098,287844,2173841,405727,2579568
2056,ssp245,Widebody,38170,1020885,781024,1840079,739489,2579568
2056,ssp370,Narrowbody,915020,970267,286174,2171461,408107,2579568
2056,ssp370,Widebody,37443,1019130,781321,1837894,741674,2579568
2056,ssp585,Narrowbody,908787,973799,286376,2168962,410606,2579568
2056,ssp585,Widebody,34262,1019352,778922,1832536,747032,2579568
2057,ssp126,Narrowbody,915346,964463,287784,2167593,404927,2572520
2057,ssp126,Widebody,39182,1017570,777912,1834664,737856,2572520
2057,ssp245,Narrowbody,916376,964421,286861,2167658,404862,2572520
2057,ssp245,Widebody,37896,1018938,779844,1836678,735842,2572520
2057,ssp370,Narrowbody,911860,966270,285991,2164121,408399,2572520
2057,ssp370,Widebody,37065,1015481,778598,1831144,741376,2572520
2057,ssp585,Narrowbody,908159,969319,284692,2162170,410350,2572520
2057,ssp585,Widebody,35548,1017178,776142,1828868,743652,2572520
2058,ssp126,Narrowbody,918790,961251,288221,2168262,404258,2572520
2058,ssp126,Widebody,38957,1019065,779936,1837958,734562,2572520
2058,ssp245,Narrowbody,911267,968414,285455,2165136,407384,2572520
2058,ssp245,Widebody,35324,1018786,777876,1831986,740534,2572520
2058,ssp370,Narrowbody,904782,973398,284521,2162701,409819,2572520
2058,ssp370,Widebody,33491,1017404,776461,1827356,745164,2572520
2058,ssp585,Narrowbody,911097,966181,287410,2164688,407832,2572520
2058,ssp585,Widebody,38113,1014922,777502,1830537,741983,2572520
2059,ssp126,Narrowbody,913900,966501,287309,2167710,404810,2572520
2059,ssp126,Widebody,36226,1019180,779503,1834909,737611,2572520
2059,ssp245,Narrowbody,909496,969401,285579,2164476,408044,2572520
2059,ssp245,Widebody,36789,1014702,777982,1829473,743047,2572520
2059,ssp370,Narrowbody,906799,970031,283814,2160644,411876,2572520
2059,ssp370,Widebody,36547,1012835,776946,1826328,746192,2572520
2059,ssp585,Narrowbody,906658,971803,283917,2162378,410142,2572520
2059,ssp585,Widebody,34413,1016550,777387,1828350,744170,2572520
2060,ssp126,Narrowbody,914365,970948,286547,2171860,407708,2579568
2060,ssp126,Widebody,36900,1019254,780889,1837043,742525,2579568
2060,ssp245,Narrowbody,913671,970596,287621,2171888,407680,2579568
2060,ssp245,Widebody,35732,1020410,780955,1837097,742471,2579568
2060,ssp370,Narrowbody,912149,971069,286061,2169279,410289,2579568
2060,ssp370,Widebody,36885,1019790,777879,1834554,745014,2579568
2060,ssp585,Narrowbody,904826,977144,283784,2165754,413814,2579568
2060,ssp585,Widebody,32441,1019562,776541,1828544,751024,2579568
2061,ssp126,Narrowbody,914505,965181,287798,2167484,405036,2572520
2061,ssp126,Widebody,37684,1016551,781138,1835373,737147,2572520
2061,ssp245,Narrowbody,916081,962571,287854,2166506,406014,2572520
2061,ssp245,Widebody,39628,1014892,779702,1834222,738298,2572520
2061,ssp370,Narrowbody,907584,969220,285968,2162772,409748,2572520
2061,ssp370,Widebody,35273,1016204,776570,1828047,744473,2572520
2061,ssp585,Narrowbody,906360,970203,283985,2160548,411972,2572520
2061,ssp585,Widebody,34343,1015127,777716,1827186,745334,2572520
2062,ssp126,Narrowbody,913763,967207,287134,2168104,404416,2572520
2062,ssp126,Widebody,37755,1017802,778873,1834430,738090,2572520
2062,ssp245,Narrowbody,912770,966813,286645,2166228,406292,2572520
2062,ssp245,Widebody,36336,1017121,780772,1834229,738291,2572520
2062,ssp370,Narrowbody,909784,969582,284910,2164276,408244,2572520
2062,ssp370,Widebody,35266,1016695,779713,1831674,740846,2572520
2062,ssp585,Narrowbody,910079,966097,286249,2162425,410095,2572520
2062,ssp585,Widebody,38949,1009473,778235,1826657,745863,2572520
2063,ssp126,Narrowbody,917653,962218,288530,2168401,404119,2572520
2063,ssp126,Widebody,38663,1016633,782236,1837532,734988,2572520
2063,ssp245,Narrowbody,911928,966878,285659,2164465,408055,2572520
2063,ssp245,Widebody,37716,1014234,778908,1830858,741662,2572520
2063,ssp370,Narrowbody,910358,966408,285818,2162584,409936,2572520
2063,ssp370,Widebody,36474,1012753,780130,1829357,743163,2572520
2063,ssp585,Narrowbody,903785,971804,285904,2161493,411027,2572520
2063,ssp585,Widebody,35188,1014644,774129,1823961,748559,2572520
2064,ssp126,Narrowbody,915536,970318,287386,2173240,406328,2579568
2064,ssp126,Widebody,36992,1020776,782096,1839864,739704,2579568
2064,ssp245,Narrowbody,911540,972108,286437,2170085,409483,2579568
2064,ssp245,Widebody,36394,1017788,779801,1833983,745585,2579568
2064,ssp370,Narrowbody,912812,967848,288312,2168972,410596,2579568
2064,ssp370,Widebody,37775,1013040,783450,1834265,745303,2579568
2064,ssp585,Narrowbody,906722,974429,286388,2167539,412029,2579568
