year,exp,type,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko
2017,ssp245,B789,23534,525645,267340,816519,469741,1286260
2017,ssp370,A20n,832632,313790,54931,1201353,84907,1286260
2017,ssp370,A359,76459,655681,232647,964787,321473,1286260
2017,ssp370,B39m,13619,493674,513080,1020373,265887,1286260
2017,ssp370,B789,21182,525363,264511,811056,475204,1286260
2017,ssp585,A20n,837105,310074,54676,1201855,84405,1286260
2017,ssp585,A359,80483,654114,234002,968599,317661,1286260
2017,ssp585,B39m,14817,494815,512745,1022377,263883,1286260
2017,ssp585,B789,22655,526274,266969,815898,470362,1286260
2018,ssp126,A20n,837643,309587,54310,1201540,84720,1286260
2018,ssp126,A359,80053,654606,232792,967451,318809,1286260
2018,ssp126,B39m,14672,494159,512575,1021406,264854,1286260
2018,ssp126,B789,22627,525945,267692,816264,469996,1286260
2018,ssp245,A20n,834373,312376,54872,1201621,84639,1286260
2018,ssp245,A359,78211,655530,232111,965852,320408,1286260
2018,ssp245,B39m,14221,494111,512719,1021051,265209,1286260
2018,ssp245,B789,21697,526371,265310,813378,472882,1286260
2018,ssp370,A20n,833838,313425,53812,1201075,85185,1286260
2018,ssp370,A359,77840,655569,231145,964554,321706,1286260
2018,ssp370,B39m,14268,493737,512614,1020619,265641,1286260
2018,ssp370,B789,21962,525253,265053,812268,473992,1286260
2018,ssp585,A20n,835236,311898,54946,1202080,84180,1286260
2018,ssp585,A359,78512,655617,232668,966797,319463,1286260
2018,ssp585,B39m,14010,494694,513259,1021963,264297,1286260
2018,ssp585,B789,21936,526316,265852,814104,472156,1286260
2019,ssp126,A20n,837472,310465,54259,1202196,84064,1286260
2019,ssp126,A359,80881,653863,233329,968073,318187,1286260
2019,ssp126,B39m,15559,493707,513355,1022621,263639,1286260
2019,ssp126,B789,23606,525283,267639,816528,469732,1286260
2019,ssp245,A20n,833780,312770,54477,1201027,85233,1286260
2019,ssp245,A359,77862,655075,231792,964729,321531,1286260
2019,ssp245,B39m,14653,493095,512845,1020593,265667,1286260
2019,ssp245,B789,22660,524518,265218,812396,473864,1286260
