year,exp,type,cnt,thr_red_avg,thr_avg
2037,ssp370,Narrowbody,1201725,21.6036,0.783964
2037,ssp370,Widebody,965938,11.3216,0.886784
2037,ssp370,Narrowbody,1021090,5.91939,0.9408061
2037,ssp370,Widebody,815023,8.4531,0.915469
2037,ssp585,Narrowbody,1201645,21.6057,0.783943
2037,ssp585,Widebody,966310,11.3429,0.886571
2037,ssp585,Narrowbody,1021342,5.94061,0.9405939
2037,ssp585,Widebody,815374,8.47557,0.9152443
2038,ssp126,Narrowbody,1201664,21.5808,0.784192
2038,ssp126,Widebody,965069,11.2912,0.887088
2038,ssp126,Narrowbody,1020366,5.89295,0.9410705
2038,ssp126,Widebody,811780,8.44823,0.9155177
2038,ssp245,Narrowbody,1202070,21.5962,0.784038
2038,ssp245,Widebody,966610,11.3332,0.886668
2038,ssp245,Narrowbody,1021082,5.9462,0.940538
2038,ssp245,Widebody,814907,8.48457,0.9151543
2038,ssp370,Narrowbody,1201914,21.6028,0.783972
2038,ssp370,Widebody,966290,11.3345,0.886655
2038,ssp370,Narrowbody,1021613,5.93208,0.9406792
2038,ssp370,Widebody,815289,8.47281,0.9152719
2038,ssp585,Narrowbody,1201158,21.5682,0.784318
2038,ssp585,Widebody,963207,11.2974,0.887026
2038,ssp585,Narrowbody,1019155,5.90176,0.9409824
2038,ssp585,Widebody,811101,8.45518,0.9154482
2039,ssp126,Narrowbody,1201614,21.5888,0.784112
2039,ssp126,Widebody,965232,11.3206,0.886794
2039,ssp126,Narrowbody,1020696,5.92624,0.9407376
2039,ssp126,Widebody,814389,8.46418,0.9153582
2039,ssp245,Narrowbody,1201215,21.5824,0.784176
2039,ssp245,Widebody,964628,11.3476,0.886524
2039,ssp245,Narrowbody,1019989,5.93935,0.9406065
2039,ssp245,Widebody,812471,8.49957,0.9150043
2039,ssp370,Narrowbody,1201801,21.5912,0.784088
2039,ssp370,Widebody,965517,11.3073,0.886927
2039,ssp370,Narrowbody,1021384,5.91232,0.9408768
2039,ssp370,Widebody,812598,8.47362,0.9152638
2039,ssp585,Narrowbody,1201823,21.6063,0.783937
2039,ssp585,Widebody,966428,11.3891,0.886109
2039,ssp585,Narrowbody,1021822,5.96881,0.9403119
2039,ssp585,Widebody,817241,8.50813,0.9149187
2040,ssp126,Narrowbody,1204583,21.5827,0.784173
2040,ssp126,Widebody,967118,11.3032,0.886968
2040,ssp126,Narrowbody,1023433,5.92071,0.9407929
2040,ssp126,Widebody,812410,8.4942,0.915058
2040,ssp245,Narrowbody,1205339,21.6024,0.783976
2040,ssp245,Widebody,969511,11.3536,0.886464
2040,ssp245,Narrowbody,1025068,5.94701,0.9405299
2040,ssp245,Widebody,817287,8.50196,0.9149804
2040,ssp370,Narrowbody,1204641,21.5709,0.784291
2040,ssp370,Widebody,965843,11.283,0.88717
2040,ssp370,Narrowbody,1022228,5.88294,0.9411706
2040,ssp370,Widebody,812563,8.44253,0.9155747
