"our.icao","iata.code","iata.traffic","our.name","our.lat","our.lon","lido.rwy","lido.len","lido.toda"
"YPKG","KGI",304667,"Kalgoorlie Boulder Airport",-30.7894001007,121.461997986,"RW11",6562,6759
"YPKG","KGI",304667,"Kalgoorlie Boulder Airport",-30.7894001007,121.461997986,"RW36",3937,4134
"YPKG","KGI",304667,"Kalgoorlie Boulder Airport",-30.7894001007,121.461997986,"RW18",3937,4134
"YPKG","KGI",304667,"Kalgoorlie Boulder Airport",-30.7894001007,121.461997986,"RW29",6562,6759
"UTSB","BHK",303937,"Bukhara Airport",39.7750015258789,64.4832992553711,"RW01",9843,11155
"UTSB","BHK",303937,"Bukhara Airport",39.7750015258789,64.4832992553711,"RW19",9843,11155
"SBDN","PPB",303527,"Presidente Prudente Airport",-22.1751003265,-51.4245986938,"RW12",6890,6890
"SBDN","PPB",303527,"Presidente Prudente Airport",-22.1751003265,-51.4245986938,"RW30",6890,6594
"CYRT","YRT",303158,"Rankin Inlet Airport",62.8114013672,-92.1157989502,"RW13",6000,6984
"CYRT","YRT",303158,"Rankin Inlet Airport",62.8114013672,-92.1157989502,"RW31",6000,6984
"FTTJ","NDJ",302279,"N'Djamena International Airport",12.1337,15.034,"RW23",9186,9974
"FTTJ","NDJ",302279,"N'Djamena International Airport",12.1337,15.034,"RW05",9186,9908
"CYXT","YXT",301270,"Northwest Regional Airport Terrace-Kitimat",54.468498,-128.576009,"RW21",5371,6355
"CYXT","YXT",301270,"Northwest Regional Airport Terrace-Kitimat",54.468498,-128.576009,"RW03",5371,6355
"CYXT","YXT",301270,"Northwest Regional Airport Terrace-Kitimat",54.468498,-128.576009,"RW15",7497,8481
"CYXT","YXT",301270,"Northwest Regional Airport Terrace-Kitimat",54.468498,-128.576009,"RW33",7497,8481
"SPYL","TYL",300732,"Capitan Montes Airport",-4.5766401290894,-81.254096984863,"RW35",8071,8071
"SPYL","TYL",300732,"Capitan Montes Airport",-4.5766401290894,-81.254096984863,"RW17",8071,8071
"SKLT","LET",300482,"Alfredo Vásquez Cobo International Airport",-4.19355,-69.9432,"RW03",6594,6102
"SKLT","LET",300482,"Alfredo Vásquez Cobo International Airport",-4.19355,-69.9432,"RW21",6594,6594
"SBFN","FEN",299981,"Fernando de Noronha Airport",-3.85493,-32.423302,"RW12",6053,6053
"SBFN","FEN",299981,"Fernando de Noronha Airport",-3.85493,-32.423302,"RW30",6053,6053
"CYSJ","YSJ",298334,"Saint John Airport",45.3161010742188,-65.8902969360352,"RW05",7201,7857
"CYSJ","YSJ",298334,"Saint John Airport",45.3161010742188,-65.8902969360352,"RW23",7201,7726
"CYSJ","YSJ",298334,"Saint John Airport",45.3161010742188,-65.8902969360352,"RW14",5100,5100
"CYSJ","YSJ",298334,"Saint John Airport",45.3161010742188,-65.8902969360352,"RW32",5100,5100
"URMS","IGT",297693,"Magas Airport",43.3222999573,45.0125999451,"RW09",9843,10335
"URMS","IGT",297693,"Magas Airport",43.3222999573,45.0125999451,"RW27",9843,10335
"OAMS","MZR",296730,"Mazar-i-Sharif International Airport",36.706902,67.209702,"RW06",9836,10738
"OAMS","MZR",296730,"Mazar-i-Sharif International Airport",36.706902,67.209702,"RW24",9836,10738
"DGSI","KMS",295517,"Kumasi Airport",6.71456003189087,-1.59081995487213,"RW02",6542,6542
"DGSI","KMS",295517,"Kumasi Airport",6.71456003189087,-1.59081995487213,"RW20",6542,6542
"MPMG","PAC",294474,"Marcos A. Gelabert International Airport",8.97334003448486,-79.5556030273438,"RW01",5906,5906
"MPMG","PAC",294474,"Marcos A. Gelabert International Airport",8.97334003448486,-79.5556030273438,"RW19",5906,5906
"VNBW","BWA",294075,"Gautam Buddha International Airport",27.505328,83.412594,"RW10",4921,4921
"VNBW","BWA",294075,"Gautam Buddha International Airport",27.505328,83.412594,"RW28",4921,4921
"OITR","OMH",293942,"Urmia Airport",37.6680984497,45.0686988831,"RW03",10669,10823
"OITR","OMH",293942,"Urmia Airport",37.6680984497,45.0686988831,"RW21",10669,11001
"KBLV","BLV",293864,"Scott AFB/Midamerica Airport",38.5452,-89.835197,"RW32R",10000,10000
"KBLV","BLV",293864,"Scott AFB/Midamerica Airport",38.5452,-89.835197,"RW14L",10000,10000
"SBMA","MAB",293690,"João Correa da Rocha Airport",-5.36858987808,-49.1380004883,"RW25",6562,6562
"SBMA","MAB",293690,"João Correa da Rocha Airport",-5.36858987808,-49.1380004883,"RW07",6562,6562
"WATE","ENE",293398,"Ende (H Hasan Aroeboesman) Airport",-8.8492898941,121.661003113,"RW09",5413,5413
"UTAK","KRW",292646,"Turkmenbashi International Airport",40.063301,53.007198,"RW34L",11483,12467
"UTAK","KRW",292646,"Turkmenbashi International Airport",40.063301,53.007198,"RW16R",11483,12467
"UTAK","KRW",292646,"Turkmenbashi International Airport",40.063301,53.007198,"RW16L",8202,9186
"UTAK","KRW",292646,"Turkmenbashi International Airport",40.063301,53.007198,"RW34R",8202,9186
"KLCK","LCK",292566,"Rickenbacker International Airport",39.813801,-82.927803,"RW23L",12102,12102
"KLCK","LCK",292566,"Rickenbacker International Airport",39.813801,-82.927803,"RW05R",12102,12102
"KLCK","LCK",292566,"Rickenbacker International Airport",39.813801,-82.927803,"RW05L",11902,11902
"KLCK","LCK",292566,"Rickenbacker International Airport",39.813801,-82.927803,"RW23R",11902,11902
"RJSM","MSJ",292352,"Misawa Air Base / Misawa Airport",40.703201,141.367996,"RW10",10007,10007
"RJSM","MSJ",292352,"Misawa Air Base / Misawa Airport",40.703201,141.367996,"RW28",10007,10007
"TVSA","SVD",292265,"Argyle International Airport",13.156695,-61.149945,"RW04",8999,8015
"TVSA","SVD",292265,"Argyle International Airport",13.156695,-61.149945,"RW22",8999,13501
"FSPP","PRI",292035,"Praslin Airport",-4.31929,55.691399,"RW33",4610,3589
"FSPP","PRI",292035,"Praslin Airport",-4.31929,55.691399,"RW15",4610,4318
"NZRO","ROT",290658,"Rotorua Regional Airport",-38.1091995239258,176.317001342773,"RW36",6047,6644
"NZRO","ROT",290658,"Rotorua Regional Airport",-38.1091995239258,176.317001342773,"RW18",6047,6732
"DAAS","QSF",290203,"Ain Arnat Airport",36.1781005859,5.32449007034,"RW09",9514,9514
"DAAS","QSF",290203,"Ain Arnat Airport",36.1781005859,5.32449007034,"RW27",9514,9514
"OIBP","PGU",289964,"Persian Gulf International Airport",27.379601,52.737701,"RW31",13120,13514
"OIBP","PGU",289964,"Persian Gulf International Airport",27.379601,52.737701,"RW13",13120,13510
"MMCE","CME",288648,"Ciudad del Carmen International Airport",18.6536998748779,-91.7990036010742,"RW31",7218,7218
"MMCE","CME",288648,"Ciudad del Carmen International Airport",18.6536998748779,-91.7990036010742,"RW13",7218,7218
"DAAE","BJA",287823,"Soummam – Abane Ramdane Airport",36.712793,5.07857,"RW08",7874,7874
"DAAE","BJA",287823,"Soummam – Abane Ramdane Airport",36.712793,5.07857,"RW26",7874,7874
"KCWA","CWA",287661,"Central Wisconsin Airport",44.7775993347,-89.6668014526,"RW17",6501,6501
"KCWA","CWA",287661,"Central Wisconsin Airport",44.7775993347,-89.6668014526,"RW08",7648,7647
"KCWA","CWA",287661,"Central Wisconsin Airport",44.7775993347,-89.6668014526,"RW26",7648,7647
"KCWA","CWA",287661,"Central Wisconsin Airport",44.7775993347,-89.6668014526,"RW35",6501,6501
"UERR","MJZ",286692,"Mirny Airport",62.5346984863281,114.039001464844,"RW07",9186,10499
"UERR","MJZ",286692,"Mirny Airport",62.5346984863281,114.039001464844,"RW25",9186,10499
"LFBE","EGC",286027,"Bergerac-Roumanière Airport",44.8252983093262,0.518611013889313,"RW09",7234,7037
"LFBE","EGC",286027,"Bergerac-Roumanière Airport",44.8252983093262,0.518611013889313,"RW09R",2526,2526
"LFBE","EGC",286027,"Bergerac-Roumanière Airport",44.8252983093262,0.518611013889313,"RW27L",2526,2526
"LFBE","EGC",286027,"Bergerac-Roumanière Airport",44.8252983093262,0.518611013889313,"RW27",7234,7234
"SARE","RES",285948,"Resistencia International Airport",-27.45,-59.0561,"RW03",9088,11713
"SARE","RES",285948,"Resistencia International Airport",-27.45,-59.0561,"RW21",9088,9810
"RPMC","CBO",284726,"Awang Airport",7.1652398109436,124.209999084473,"RW10",6434,6572
"RPMC","CBO",284726,"Awang Airport",7.1652398109436,124.209999084473,"RW28",6434,6434
"UARR","URA",284085,"Uralsk Airport",51.1507987976074,51.543098449707,"RW22",9183,9675
"UARR","URA",284085,"Uralsk Airport",51.1507987976074,51.543098449707,"RW04",9183,9675
"KSAF","SAF",281322,"Santa Fe Municipal Airport",35.617099762,-106.088996887,"RW15",6316,6316
"ESNS","SFT",281321,"Skellefteå Airport",64.6248016357422,21.0769004821777,"RW28",8268,8268
"ESNS","SFT",281321,"Skellefteå Airport",64.6248016357422,21.0769004821777,"RW10",8268,9744
"NTTB","BOB",281194,"Bora Bora Airport",-16.4444007873535,-151.751007080078,"RW11",4938,5922
"NTTB","BOB",281194,"Bora Bora Airport",-16.4444007873535,-151.751007080078,"RW29",4938,6250
"EBAW","ANR",280885,"Antwerp International Airport (Deurne)",51.1894,4.46028,"RW11",4954,4954
"EBAW","ANR",280885,"Antwerp International Airport (Deurne)",51.1894,4.46028,"RW29",4954,4954
"VAAU","IXU",280029,"Aurangabad Airport",19.862699508667,75.3981018066406,"RW09",9314,9314
"VAAU","IXU",280029,"Aurangabad Airport",19.862699508667,75.3981018066406,"RW27",9314,9314
"ZGBS","AEB",279782,"Baise Youjiang Airport",23.7206,106.959999,"RW30",8202,8202
"ZGBS","AEB",279782,"Baise Youjiang Airport",23.7206,106.959999,"RW12",8202,8202
"SBVC","VDC",279708,"Glauber de Andrade Rocha Airport",-14.907885,-40.914804,"RW33",6890,6890
"SBVC","VDC",279708,"Glauber de Andrade Rocha Airport",-14.907885,-40.914804,"RW15",6890,6890
"DNEN","ENU",279277,"Akanu Ibiam International Airport",6.47426986694336,7.56196022033691,"RW26",9843,9843
"DNEN","ENU",279277,"Akanu Ibiam International Airport",6.47426986694336,7.56196022033691,"RW08",9843,9843
"SVBC","BLA",278311,"General José Antonio Anzoategui International Airport",10.111111,-64.692222,"RW02",9186,9186
"SVBC","BLA",278311,"General José Antonio Anzoategui International Airport",10.111111,-64.692222,"RW15",9843,9843
"SVBC","BLA",278311,"General José Antonio Anzoategui International Airport",10.111111,-64.692222,"RW33",9843,9843
"SVBC","BLA",278311,"General José Antonio Anzoategui International Airport",10.111111,-64.692222,"RW20",9186,9186
"YBMA","ISA",278262,"Mount Isa Airport",-20.6639003754,139.488998413,"RW34",8399,8596
"YBMA","ISA",278262,"Mount Isa Airport",-20.6639003754,139.488998413,"RW16",8399,8596
"ZLGY","GYU",277418,"Guyuan Liupanshan Airport",36.0788888889,106.216944444,"RW36",9186,9186
"ZLGY","GYU",277418,"Guyuan Liupanshan Airport",36.0788888889,106.216944444,"RW18",9186,9186
"GMMH","VIL",277322,"Dakhla Airport",23.7183,-15.932,"RW03",9843,9843
"GMMH","VIL",277322,"Dakhla Airport",23.7183,-15.932,"RW21",9843,9843
"YMAY","ABX",277066,"Albury Airport",-36.067798614502,146.957992553711,"RW07",6234,6529
"YMAY","ABX",277066,"Albury Airport",-36.067798614502,146.957992553711,"RW25",6234,6529
"LFJL","ETZ",276873,"Metz-Nancy-Lorraine Airport",48.9821014404,6.25131988525,"RW04",10007,10007
"LFJL","ETZ",276873,"Metz-Nancy-Lorraine Airport",48.9821014404,6.25131988525,"RW22",10007,10007
"VYSW","AKY",275716,"Sittwe Airport",20.1326999664307,92.8725967407227,"RW29",7500,7500
"VYSW","AKY",275716,"Sittwe Airport",20.1326999664307,92.8725967407227,"RW11",7500,7500
"LKMT","OSR",275636,"Ostrava Leos Janáček Airport",49.6963005065918,18.1110992431641,"RW22",11519,12503
"LKMT","OSR",275636,"Ostrava Leos Janáček Airport",49.6963005065918,18.1110992431641,"RW04",11519,12503
"GLRB","ROB",275339,"Roberts International Airport",6.23379,-10.3623,"RW22",11001,12008
"GLRB","ROB",275339,"Roberts International Airport",6.23379,-10.3623,"RW04",11001,12008
"LWOH","OHD",274234,"Ohrid St. Paul the Apostle Airport",41.18,20.7423,"RW01",8360,8360
"LWOH","OHD",274234,"Ohrid St. Paul the Apostle Airport",41.18,20.7423,"RW19",8360,8360
"LOWL","LNZ",274197,"Linz-Hörsching Airport / Vogler Air Base",48.2332,14.1875,"RW26",9843,9843
"LOWL","LNZ",274197,"Linz-Hörsching Airport / Vogler Air Base",48.2332,14.1875,"RW08",9843,10039
"SKMZ","MZL",274105,"La Nubia Airport",5.0296,-75.4647,"RW28",4593,4593
"VTUL","LOE",274027,"Loei Airport",17.4391002655029,101.72200012207,"RW19",6890,6890
"VTUL","LOE",274027,"Loei Airport",17.4391002655029,101.72200012207,"RW01",6890,6890
"HKEL","EDL",273783,"Eldoret International Airport",0.404457986354828,35.238899230957,"RW08",11483,12467
"HKEL","EDL",273783,"Eldoret International Airport",0.404457986354828,35.238899230957,"RW26",11483,12467
"ULWC","CEE",273202,"Cherepovets Airport",59.273601532,38.0158004761,"RW03",8278,8770
"ULWC","CEE",273202,"Cherepovets Airport",59.273601532,38.0158004761,"RW21",8278,8770
"OEGT","URY",272939,"Gurayat Domestic Airport",31.412413,37.278898,"RW10",10007,10991
"OEGT","URY",272939,"Gurayat Domestic Airport",31.412413,37.278898,"RW28",10007,10991
"UAKK","KGF",272741,"Sary-Arka Airport",49.6707992553711,73.3343963623047,"RW05",11814,12799
