year,exp,type,zone,todr_avg,todr_avg_loess
2043,ssp245,Widebody,Temperate,3380.625,3380.51571984122
2043,ssp370,Narrowbody,Temperate,2939.5,2937.14185345653
2043,ssp370,Widebody,Temperate,3384.435,3381.83000878395
2043,ssp585,Narrowbody,Temperate,2937.1,2937.47668127956
2043,ssp585,Widebody,Temperate,3381.705,3382.10687394501
2044,ssp126,Narrowbody,Temperate,2939.07,2935.54483797719
2044,ssp126,Widebody,Temperate,3384.62,3380.86221719574
2044,ssp245,Narrowbody,Temperate,2938.17,2935.42997693611
2044,ssp245,Widebody,Temperate,3383.02,3380.59913718123
2044,ssp370,Narrowbody,Temperate,2935.61,2937.32218299569
2044,ssp370,Widebody,Temperate,3381.305,3381.95168147825
2044,ssp585,Narrowbody,Temperate,2937.205,2937.73384610773
2044,ssp585,Widebody,Temperate,3381.625,3382.3018588687
2045,ssp126,Narrowbody,Temperate,2935.125,2935.63944888368
2045,ssp126,Widebody,Temperate,3380.34,3380.94853653352
2045,ssp245,Narrowbody,Temperate,2937.625,2935.5371603711
2045,ssp245,Widebody,Temperate,3382.975,3380.68278758995
2045,ssp370,Narrowbody,Temperate,2935.885,2937.50356133795
2045,ssp370,Widebody,Temperate,3381.805,3382.07513850538
2045,ssp585,Narrowbody,Temperate,2937.705,2937.98901387523
2045,ssp585,Widebody,Temperate,3383.35,3382.49323594876
2046,ssp126,Narrowbody,Temperate,2940.035,2935.7286460232
2046,ssp126,Widebody,Temperate,3383.21,3381.02459661717
2046,ssp245,Narrowbody,Temperate,2937.155,2935.64695246221
2046,ssp245,Widebody,Temperate,3381.525,3380.76550125625
2046,ssp370,Narrowbody,Temperate,2939.28,2937.68530025767
2046,ssp370,Widebody,Temperate,3383.605,3382.20011613289
2046,ssp585,Narrowbody,Temperate,2932.49,2938.23915923634
2046,ssp585,Widebody,Temperate,3379.435,3382.67806227646
2047,ssp126,Narrowbody,Temperate,2936.765,2935.81086907666
2047,ssp126,Widebody,Temperate,3381.045,3381.08775534616
2047,ssp245,Narrowbody,Temperate,2937.835,2935.7588333939
2047,ssp245,Widebody,Temperate,3381.565,3380.84610836895
2047,ssp370,Narrowbody,Temperate,2935.935,2937.8667115292
2047,ssp370,Widebody,Temperate,3381.305,3382.32635062836
2047,ssp585,Narrowbody,Temperate,2937.565,2938.48125684535
2047,ssp585,Widebody,Temperate,3382.25,3382.85339494305
2048,ssp126,Narrowbody,Temperate,2933.855,2935.89480212668
2048,ssp126,Widebody,Temperate,3382.4,3381.14209211244
2048,ssp245,Narrowbody,Temperate,2933.205,2935.87864999086
2048,ssp245,Widebody,Temperate,3378.805,3380.92879301622
2048,ssp370,Narrowbody,Temperate,2932.7,2938.04521269039
2048,ssp370,Widebody,Temperate,3379.59,3382.45256627273
2048,ssp585,Narrowbody,Temperate,2938.375,2938.72180218888
2048,ssp585,Widebody,Temperate,3382.11,3383.02323111699
2049,ssp126,Narrowbody,Temperate,2935.875,2935.98757937163
2049,ssp126,Widebody,Temperate,3381.985,3381.19293548213
2049,ssp245,Narrowbody,Temperate,2935.635,2936.01084643245
2049,ssp245,Widebody,Temperate,3380.64,3381.0175507716
2049,ssp370,Narrowbody,Temperate,2941.175,2938.2198595429
2049,ssp370,Widebody,Temperate,3386.34,3382.57822840837
2049,ssp585,Narrowbody,Temperate,2943.715,2938.96820993337
2049,ssp585,Widebody,Temperate,3385.765,3383.19332162227
2050,ssp126,Narrowbody,Temperate,2932.01,2936.08531566601
2050,ssp126,Widebody,Temperate,3377.82,3381.23951711599
2050,ssp245,Narrowbody,Temperate,2936.67,2936.1527989351
2050,ssp245,Widebody,Temperate,3381.595,3381.11092905199
2050,ssp370,Narrowbody,Temperate,2943.19,2938.39242125685
2050,ssp370,Widebody,Temperate,3385.665,3382.70418489501
2050,ssp585,Narrowbody,Temperate,2936.58,2939.21883350277
2050,ssp585,Widebody,Temperate,3380.665,3383.36335403344
2051,ssp126,Narrowbody,Temperate,2936.015,2936.18412586434
2051,ssp126,Widebody,Temperate,3380.47,3381.28106867474
2051,ssp245,Narrowbody,Temperate,2933.01,2936.30188371528
2051,ssp245,Widebody,Temperate,3378.57,3381.20747527431
2051,ssp370,Narrowbody,Temperate,2939.815,2938.56466700235
2051,ssp370,Widebody,Temperate,3381.91,3382.83128359237
2051,ssp585,Narrowbody,Temperate,2938.815,2939.47202632106
2051,ssp585,Widebody,Temperate,3382.97,3383.53301592508
2052,ssp126,Narrowbody,Temperate,2935.76,2936.28012482113
2052,ssp126,Widebody,Temperate,3380.695,3381.31682181912
2052,ssp245,Narrowbody,Temperate,2937.87,2936.45547698941
2052,ssp245,Widebody,Temperate,3382.7,3381.30573685549
2052,ssp370,Narrowbody,Temperate,2939.58,2938.73836594951
2052,ssp370,Widebody,Temperate,3384.25,3382.96037236016
2052,ssp585,Narrowbody,Temperate,2938.405,2939.7261418122
2052,ssp585,Widebody,Temperate,3382.575,3383.70199487173
2053,ssp126,Narrowbody,Temperate,2934.52,2936.36942739091
2053,ssp126,Widebody,Temperate,3379.025,3381.34600820989
2053,ssp245,Narrowbody,Temperate,2939.455,2936.61095497394
2053,ssp245,Widebody,Temperate,3382.66,3381.40426121243
2053,ssp370,Narrowbody,Temperate,2937.255,2938.91528726844
2053,ssp370,Widebody,Temperate,3381.095,3383.0922990581
2053,ssp585,Narrowbody,Temperate,2940.09,2939.97953340017
2053,ssp585,Widebody,Temperate,3383.755,3383.86997844797
2054,ssp126,Narrowbody,Temperate,2939.78,2936.44814842818
2054,ssp126,Widebody,Temperate,3384.14,3381.36785950778
2054,ssp245,Narrowbody,Temperate,2935.895,2936.76569388532
2054,ssp245,Widebody,Temperate,3380.725,3381.50159576205
2054,ssp370,Narrowbody,Temperate,2936.755,2939.09720012925
2054,ssp370,Widebody,Temperate,3381.875,3383.22791154593
2054,ssp585,Narrowbody,Temperate,2938.28,2940.23055450892
2054,ssp585,Widebody,Temperate,3382.04,3384.03665422836
2055,ssp126,Narrowbody,Temperate,2935.61,2936.51240278745
2055,ssp126,Widebody,Temperate,3380.545,3381.38160737354
2055,ssp245,Narrowbody,Temperate,2934.45,2936.91706993997
2055,ssp245,Widebody,Temperate,3380.545,3381.59628792127
2055,ssp370,Narrowbody,Temperate,2939.945,2939.28587370205
2055,ssp370,Widebody,Temperate,3383.08,3383.36805768335
2055,ssp585,Narrowbody,Temperate,2940,2940.47755856243
2055,ssp585,Widebody,Temperate,3384.38,3384.20170978745
2056,ssp126,Narrowbody,Temperate,2931.805,2936.55830532325
2056,ssp126,Widebody,Temperate,3377.97,3381.3864834679
2056,ssp245,Narrowbody,Temperate,2936.695,2937.06245935436
2056,ssp245,Widebody,Temperate,3381.885,3381.68688510701
2056,ssp370,Narrowbody,Temperate,2936.295,2939.48307715695
2056,ssp370,Widebody,Temperate,3380.54,3383.51358533009
2056,ssp585,Narrowbody,Temperate,2945.925,2940.71889898465
2056,ssp585,Widebody,Temperate,3389.215,3384.3648326998
2057,ssp126,Narrowbody,Temperate,2936.265,2936.58197089009
2057,ssp126,Widebody,Temperate,3381.81,3381.3817194516
2057,ssp245,Narrowbody,Temperate,2935.815,2937.19923834491
2057,ssp245,Widebody,Temperate,3381.41,3381.77193473617
2057,ssp370,Narrowbody,Temperate,2936.835,2939.69057966407
2057,ssp370,Widebody,Temperate,3380.815,3383.66534234588
2057,ssp585,Narrowbody,Temperate,2943.225,2940.95292919958
2057,ssp585,Widebody,Temperate,3387.55,3384.52571053999
2058,ssp126,Narrowbody,Temperate,2936.795,2936.57770562745
2058,ssp126,Widebody,Temperate,3382.88,3381.35765338915
2058,ssp245,Narrowbody,Temperate,2940.065,2937.33208869956
2058,ssp245,Widebody,Temperate,3383.72,3381.85189243071
2058,ssp370,Narrowbody,Temperate,2942.785,2939.91205570498
2058,ssp370,Widebody,Temperate,3384.415,3383.82555639132
2058,ssp585,Narrowbody,Temperate,2938.25,2941.17536513811
2058,ssp585,Widebody,Temperate,3383.06,3384.6785170277
2059,ssp126,Narrowbody,Temperate,2938.41,2936.54617813535
2059,ssp126,Widebody,Temperate,3382.375,3381.30868938636
2059,ssp245,Narrowbody,Temperate,2938.41,2937.46696652511
2059,ssp245,Widebody,Temperate,3381.755,3381.92861032754
2059,ssp370,Narrowbody,Temperate,2941.735,2940.14807170266
2059,ssp370,Widebody,Temperate,3385.735,3383.99475893964
2059,ssp585,Narrowbody,Temperate,2943.055,2941.38519591895
2059,ssp585,Widebody,Temperate,3386.05,3384.81970534244
2060,ssp126,Narrowbody,Temperate,2937.03,2936.49304695911
2060,ssp126,Widebody,Temperate,3380.66,3381.24015816594
2060,ssp245,Narrowbody,Temperate,2938.89,2937.60315951634
2060,ssp245,Widebody,Temperate,3382.28,3382.00273061597
2060,ssp370,Narrowbody,Temperate,2942.41,2940.39573473923
2060,ssp370,Widebody,Temperate,3387.515,3384.17125356945
2060,ssp585,Narrowbody,Temperate,2946.235,2941.58568474773
2060,ssp585,Widebody,Temperate,3388,3384.9523822484
2061,ssp126,Narrowbody,Temperate,2936.08,2936.42397064405
2061,ssp126,Widebody,Temperate,3380.8,3381.15739045058
2061,ssp245,Narrowbody,Temperate,2936.46,2937.73995536803
2061,ssp245,Widebody,Temperate,3382.205,3382.07489548535
2061,ssp370,Narrowbody,Temperate,2941.91,2940.65215189682
2061,ssp370,Widebody,Temperate,3385.545,3384.35334385937
2061,ssp585,Narrowbody,Temperate,2940.5,2941.78009483007
2061,ssp585,Widebody,Temperate,3383.51,3385.0796545098
