year,ssp,zone,type,avg_todr,avg_thr,avg_pax_rem,avg_todr_loe,avg_thr_loe,avg_pax_rem_loe
2037,ssp126,Temperate,Narrowbody,2851.59974959612,0.878551753775202,10.3510101101331,2851.36634301363,0.87849265176615,10.4093680495
2037,ssp126,Temperate,Widebody,3157.64013020834,0.936863769414496,21.5715197891623,3153.90029122449,0.936867032019043,21.456198766606
2037,ssp245,Temperate,Narrowbody,2848.90892568659,0.878221408109136,10.385348520166,2850.04053615657,0.878322068949144,10.3880548060069
2037,ssp245,Temperate,Widebody,3148.55325561313,0.936577806888082,21.19831927748,3149.0873998003,0.936833620250933,21.4684998512233
2037,ssp370,Temperate,Narrowbody,2850.75782714055,0.878568234813085,10.3523925585576,2850.29067530079,0.878392332711712,10.390598733152
2037,ssp370,Temperate,Widebody,3149.19921686747,0.937358838159983,21.7804226084337,3150.54377341664,0.936884118203105,21.4437619386084
2037,ssp585,Temperate,Narrowbody,2850.54159127625,0.878555427541049,10.4897935864854,2850.05687021907,0.878412214636864,10.4449652859761
2037,ssp585,Temperate,Widebody,3146.21468321918,0.937493674446233,21.9186599928259,3148.85607521804,0.936910594821122,21.5958017006217
2038,ssp126,Temperate,Narrowbody,2850.06990306947,0.87826407779765,10.3519757385475,2851.42038621331,0.878506599853019,10.4127828080262
2038,ssp126,Temperate,Widebody,3154.23942807626,0.936378526405112,21.2170595843244,3154.04001617024,0.936880659597824,21.4577946623571
2038,ssp245,Temperate,Narrowbody,2850.1837641357,0.878391013384492,10.4133900517241,2850.08661813213,0.878331262116402,10.3899935819672
2038,ssp245,Temperate,Widebody,3147.32635738832,0.9371758131689,21.5921955610657,3149.0824144535,0.936850115434823,21.4763132571085
2038,ssp370,Temperate,Narrowbody,2848.25734248788,0.878247471949434,10.3620598845283,2850.4113524309,0.878413544200387,10.3953751921667
2038,ssp370,Temperate,Widebody,3145.45729381443,0.936870227330756,21.5031757728601,3150.61731085275,0.936915128165889,21.4523858769167
2038,ssp585,Temperate,Narrowbody,2851.66117124394,0.878564855618336,10.5445164603365,2850.17435191006,0.878434249626856,10.4501003730003
2038,ssp585,Temperate,Widebody,3150.54910189983,0.937002722665544,21.7086696256725,3148.86256289065,0.936940890080851,21.6025009298991
2039,ssp126,Temperate,Narrowbody,2851.33089660743,0.878564584308716,10.4431000827995,2851.47308910523,0.878521217238859,10.416505417978
2039,ssp126,Temperate,Widebody,3151.69257340242,0.937056773820553,21.8455526398964,3154.18130127428,0.936895119910017,21.460194125013
2039,ssp245,Temperate,Narrowbody,2849.98672051697,0.878510195827925,10.3992583029822,2850.12508914365,0.878339557432084,10.3918093986596
2039,ssp245,Temperate,Widebody,3147.25107944733,0.937047345574093,21.488156782443,3149.06944694608,0.936865381303561,21.4854141302573
2039,ssp370,Temperate,Narrowbody,2850.70516155089,0.878366090234975,10.4265311947431,2850.54265441613,0.878436675433331,10.4006949691684
2039,ssp370,Temperate,Widebody,3147.6804302926,0.937079432530551,21.6932235568679,3150.68300489014,0.936949088512957,21.4612594415395
2039,ssp585,Temperate,Narrowbody,2850.47822294022,0.878566805422124,10.5056523075595,2850.29481048671,0.878457025391221,10.4554829400771
2039,ssp585,Temperate,Widebody,3144.14601883561,0.937397491383648,21.8169597498721,3148.86770318414,0.936971564724534,21.6090829851038
2040,ssp126,Temperate,Narrowbody,2852.6581260097,0.878806802066963,10.4928398044399,2851.5246422554,0.878536282670265,10.4204521967833
2040,ssp126,Temperate,Widebody,3159.21841463415,0.936817623802179,21.0740714506909,3154.32189798335,0.936910242961928,21.4632637529854
2040,ssp245,Temperate,Narrowbody,2851.01613893376,0.878460818872375,10.3505981944404,2850.15799933817,0.878347205082565,10.3935353061838
2040,ssp245,Temperate,Widebody,3146.82740517241,0.93707736478,21.3327050670372,3149.0520068962,0.936879642134941,21.4954305388612
2040,ssp370,Temperate,Narrowbody,2850.60486268175,0.878490095739458,10.4615654755018,2850.68318652096,0.878461488412018,10.4064716024907
2040,ssp370,Temperate,Widebody,3151.00038062284,0.936835510881315,21.424721886702,3150.7431399238,0.936985566509869,21.4703975395526
2040,ssp585,Temperate,Narrowbody,2849.68202746365,0.878405896500162,10.4505680007075,2850.41901139292,0.878480602650918,10.4610920734724
2040,ssp585,Temperate,Widebody,3144.89305317324,0.937015302128903,21.8287691270381,3148.87372934205,0.937002807383463,21.6156502926357
2041,ssp126,Temperate,Narrowbody,2853.39933764136,0.878484962998304,10.4466990573506,2851.57523622982,0.878551574893832,10.4245394618695
2041,ssp126,Temperate,Widebody,3161.46213913043,0.936774495020869,21.4394267910445,3154.4595577442,0.936925858759864,21.4668701446855
2041,ssp245,Temperate,Narrowbody,2852.16540387722,0.878450022839653,10.4459147782203,2850.18739886273,0.878354455254215,10.395204354639
2041,ssp245,Temperate,Widebody,3150.82643350604,0.937149113854317,21.4455911720068,3149.03360392204,0.93689312220676,21.5059905511116
2041,ssp370,Temperate,Narrowbody,2850.13487883683,0.878163169725606,10.1853428794868,2850.83155400988,0.87848774513792,10.4126186304675
2041,ssp370,Temperate,Widebody,3151.42663793104,0.937026398690604,21.7372096510107,3150.80000034871,0.937024129422183,21.4798150780316
2041,ssp585,Temperate,Narrowbody,2851.50962035541,0.878642360496277,10.504989104451,2850.54772007256,0.878505042126909,10.4669068594519
2041,ssp585,Temperate,Widebody,3152.46017331022,0.936921371436221,21.5901058393494,3148.88287460792,0.93703480668893,21.6223052788946
2042,ssp126,Temperate,Narrowbody,2853.00555735057,0.878783182429968,10.5091159178133,2851.62506159451,0.878566872656156,10.4286835306644
2042,ssp126,Temperate,Widebody,3159.07208838821,0.937094411200953,21.5481206637383,3154.59203200358,0.936941797310136,21.4708798985249
2042,ssp245,Temperate,Narrowbody,2850.23624394184,0.87844509300895,10.4838918256365,2850.21533786437,0.878361558133406,10.3968495941248
2042,ssp245,Temperate,Widebody,3149.78707758621,0.936941022948879,21.5212841136544,3149.01774764177,0.936906045796815,21.5167222351999
