zone,exp,year,avg_tas,max_tas,avg_rho,min_rho,avg_hdw
Temperate,ssp370,2019,0.394036307069939,1.368,-0.00378841604860747,-0.00224900000000006,0.118835209252962
Temperate,ssp370,2020,0.283611351171658,-0.741000000000042,-0.0020250784502065,-0.000342999999999982,0.018371896708425
Temperate,ssp370,2021,0.113874331295563,3.48899999999998,-0.00136924016506157,-0.00053700000000001,0.0967153695293455
Temperate,ssp370,2022,0.177191554842807,0.685999999999979,-0.00168475754711794,0.00452600000000003,0.000525291150238694
Temperate,ssp370,2023,0.100444288508697,0.752999999999986,-0.000569028454898923,-0.00404599999999999,0.0379834116065352
Temperate,ssp370,2024,0.355629027233533,2.40600000000001,-0.00146534471415949,-0.00323000000000007,-0.00200326460991729
Temperate,ssp370,2025,0.164357409471506,-0.838999999999999,-0.00287100594939216,-0.00256600000000007,0.117926073191547
Temperate,ssp370,2026,0.376008084770717,1.46600000000001,-0.00168726167912747,-0.00196300000000005,-0.0377919564007572
Temperate,ssp370,2027,0.108212105081975,2.59399999999999,-0.00262962896637742,0.00185400000000002,0.155061571279619
Temperate,ssp370,2028,0.026906384618087,0.867999999999995,-0.000620925981005271,0.000515999999999961,-0.0209361527995204
Temperate,ssp370,2029,0.238158195824838,-0.0080000000000382,-0.00279010991536355,-0.00471299999999997,0.0291050365773176
Temperate,ssp370,2030,0.239482753635457,-0.247000000000014,-0.00372820905649762,0.00470499999999996,0.0633872475698754
Temperate,ssp370,2031,0.0819800345825001,1.036,-0.000861254396214095,-0.000661000000000023,-0.046589061936622
Temperate,ssp370,2032,0.386103765043231,0.509999999999991,-0.00115329413448451,-0.002745,-0.0411567459662123
Temperate,ssp370,2033,0.449297556886734,0.504999999999996,-0.00475420196324028,-0.00141100000000005,-0.0615605103528623
Temperate,ssp370,2034,0.305410014670201,1.036,-0.00282337972633662,0.00314999999999999,0.0267316863869143
Temperate,ssp370,2035,0.562888140005953,1.476,-0.00438018366797066,-0.00639000000000001,0.0300647475896616
Temperate,ssp370,2036,0.398814836559268,0.377999999999986,-0.00272605846866902,-0.00575900000000007,-0.00890024142368517
Temperate,ssp370,2037,0.492472277039155,2.005,-0.00287767186415322,0.00146000000000002,-0.0671965350913819
Temperate,ssp370,2038,0.39824186924335,0.812999999999988,-0.0030675049804072,0.000161999999999995,0.00796797049553799
Temperate,ssp370,2039,0.23637779877896,2.87,-0.00340222321830752,0.000396999999999981,0.10050654668823
Temperate,ssp370,2040,0.400684955394013,1.22899999999999,-0.00473551592932098,0.00217800000000001,0.0517622651890166
Temperate,ssp370,2041,0.431626943982451,0.236999999999966,-0.00186060169028424,-0.00615399999999999,-0.0429713289463134
Temperate,ssp370,2042,0.613761808719403,1.16399999999999,-0.00390240747512394,0.000842999999999927,-0.0233182656416213
Temperate,ssp370,2043,0.349756210794396,-0.0520000000000209,-0.00315725722948157,-0.00426100000000007,-0.0484053990292495
Temperate,ssp370,2044,0.560513692362122,2.38,-0.0046621486348184,-0.000851999999999964,0.0955256710244994
Temperate,ssp370,2045,0.562988270885228,1.13799999999998,-0.00304647715607675,-0.000497999999999998,0.0200577565190967
Temperate,ssp370,2046,0.743609771925378,-0.007000000000005,-0.00451376744417753,-0.00414199999999998,-0.034342403799358
Temperate,ssp370,2047,0.753099605756233,0.291999999999973,-0.00472292221143222,0.000832999999999973,0.0590987691560878
Temperate,ssp370,2048,1.02540853033412,1.154,-0.00270203330510754,-0.001637,-0.00564119583991563
Temperate,ssp370,2049,1.45558482342034,0.75,-0.00536865224058425,-0.00081500000000001,-0.100955618131995
Temperate,ssp370,2050,1.2478604524274,2.21899999999999,-0.00711785145892629,0.000178999999999929,-0.0535367023721554
Temperate,ssp370,2051,1.40568044137461,1.79599999999999,-0.0087553956541595,0.000622000000000011,0.0676655014147061
Temperate,ssp370,2052,0.950876721077748,1.346,-0.00464906238631313,0.00323899999999999,-0.0616375790851489
Temperate,ssp370,2053,0.896303267826511,2.37599999999998,-0.00567087292810964,-0.00146000000000002,0.0627715508465743
Temperate,ssp370,2054,1.1574234876839,1.36199999999997,-0.00579682561798034,-0.00085500000000005,0.0454590773793155
Temperate,ssp370,2055,1.01745394880089,1.81999999999999,-0.00606112233879519,0.000410999999999939,-0.0029896175252393
Temperate,ssp370,2056,0.775831375164785,1.44999999999999,-0.00535575230935015,-0.00107500000000005,0.0645450659832472
Temperate,ssp370,2057,0.975634276078665,2.48099999999999,-0.00480155779990632,0.00578499999999993,0.00581051606133265
Temperate,ssp370,2058,0.915051281377885,3.39599999999996,-0.00706703059963854,0.00253499999999995,-0.00473874100684846
Temperate,ssp370,2059,1.27653384037211,2.423,-0.00787656261059277,-0.00604000000000005,0.0231103757022391
Temperate,ssp370,2060,1.2505110892572,1.95599999999996,-0.00717461132103292,-0.00423799999999996,0.0127750595336709
Temperate,ssp370,2061,1.22104487066656,1.28999999999996,-0.00633598550476999,0.00161900000000004,-0.0490219513390358
Temperate,ssp370,2062,1.11186843102291,1.572,-0.00721965340602937,0.000321999999999933,0.0799169984317842
Temperate,ssp370,2063,0.844787041312088,1.88399999999996,-0.00581675466600484,0.000481999999999982,0.0907408434315098
Temperate,ssp370,2064,1.31421137975616,1.29499999999996,-0.00634073117435507,-0.001996,0.060434341818107
Temperate,ssp370,2065,1.33051227189321,2.51599999999996,-0.00757576472011623,-0.00318499999999999,-0.0789175447788022
Temperate,ssp370,2066,1.39582028872246,2.66999999999996,-0.00692367079357581,-0.00164399999999998,-0.0369897896633162
Temperate,ssp370,2067,1.44435266666454,3.36899999999997,-0.00850605953668171,-5.29999999999697e-05,-0.0484816432435613
Temperate,ssp370,2068,1.62614645402465,3.279,-0.00913703691163392,-0.00144100000000003,-0.00956913132114501
Temperate,ssp370,2069,1.48451632069708,3.12299999999999,-0.00748860820426778,-0.000106000000000051,0.0265035699287077
Temperate,ssp370,2070,1.67133542610389,1.71899999999999,-0.00716497369980762,-0.00866100000000003,-0.0325088704221868
Temperate,ssp370,2071,1.7872681540498,3.00799999999998,-0.00780242971522038,-0.00154100000000001,-0.149249194885827
