year,exp,type,vlof_avg,vlof_avg_loess
2069,ssp370,Narrowbody,83.72535,83.7221739903412
2069,ssp370,Widebody,90.19785,90.1926542192357
2069,ssp585,Narrowbody,83.76775,83.7685245512961
2069,ssp585,Widebody,90.2422,90.2393821469581
2070,ssp126,Narrowbody,83.56305,83.5704741593899
2070,ssp126,Widebody,90.0332,90.04426037611
2070,ssp245,Narrowbody,83.6582,83.6501421337233
2070,ssp245,Widebody,90.1339,90.1214983464628
2070,ssp370,Narrowbody,83.7024,83.7267075297466
2070,ssp370,Widebody,90.17115,90.1971657623482
2070,ssp585,Narrowbody,83.7974,83.7752228538116
2070,ssp585,Widebody,90.2605,90.2460633100408
2071,ssp126,Narrowbody,83.56085,83.5703071495983
2071,ssp126,Widebody,90.03375,90.0441281696837
2071,ssp245,Narrowbody,83.6483,83.6529465633509
2071,ssp245,Widebody,90.11575,90.1242696187894
2071,ssp370,Narrowbody,83.73085,83.7311747877
2071,ssp370,Widebody,90.19525,90.2016133013513
2071,ssp585,Narrowbody,83.79915,83.7818769507788
2071,ssp585,Widebody,90.2719,90.2526998147338
2072,ssp126,Narrowbody,83.56365,83.5700905036459
2072,ssp126,Widebody,90.0403,90.043934926332
2072,ssp245,Narrowbody,83.657,83.6557159252862
2072,ssp245,Widebody,90.12935,90.1270056927286
2072,ssp370,Narrowbody,83.76305,83.7356136390544
2072,ssp370,Widebody,90.233,90.2060355438367
2072,ssp585,Narrowbody,83.77275,83.7885261142002
2072,ssp585,Widebody,90.24555,90.2593301085889
2073,ssp126,Narrowbody,83.58905,83.5698305898107
2073,ssp126,Widebody,90.06155,90.0436867441299
2073,ssp245,Narrowbody,83.64565,83.6584291728955
2073,ssp245,Widebody,90.11875,90.1296864573862
2073,ssp370,Narrowbody,83.75995,83.740061958663
2073,ssp370,Widebody,90.22755,90.2104711973965
2073,ssp585,Narrowbody,83.82115,83.7952096160784
2073,ssp585,Widebody,90.2896,90.2659926391583
2074,ssp126,Narrowbody,83.55815,83.5695337763707
2074,ssp126,Widebody,90.0338,90.0433897211528
2074,ssp245,Narrowbody,83.68735,83.6610652595449
2074,ssp245,Widebody,90.1624,90.132291801868
2074,ssp370,Narrowbody,83.75185,83.7445576213789
2074,ssp370,Widebody,90.22075,90.2149589696226
2074,ssp585,Narrowbody,83.7945,83.8019667284163
2074,ssp585,Widebody,90.26665,90.2727258539939
2075,ssp126,Narrowbody,83.54385,83.5692064316035
2075,ssp126,Widebody,90.02195,90.0430499554761
2075,ssp245,Narrowbody,83.66345,83.6636031386008
2075,ssp245,Widebody,90.14025,90.1348016152799
2075,ssp370,Narrowbody,83.7534,83.7491385020551
2075,ssp370,Widebody,90.22245,90.2195375681069
2075,ssp585,Narrowbody,83.8074,83.8088367232163
2075,ssp585,Widebody,90.27455,90.2795682006479
2076,ssp126,Narrowbody,83.56345,83.5688549237871
2076,ssp126,Widebody,90.03525,90.0426735451749
2076,ssp245,Narrowbody,83.68675,83.6660217634292
2076,ssp245,Widebody,90.1507,90.1371957867276
2076,ssp370,Narrowbody,83.756,83.7538424755447
2076,ssp370,Widebody,90.22565,90.2242457004415
2076,ssp585,Narrowbody,83.81,83.8158588724811
2076,ssp585,Widebody,90.28455,90.2865581266724
2077,ssp126,Narrowbody,83.5707,83.5684856211993
2077,ssp126,Widebody,90.04755,90.0422665883246
2077,ssp245,Narrowbody,83.7019,83.6683000873965
2077,ssp245,Widebody,90.17375,90.139454205317
2077,ssp370,Narrowbody,83.71845,83.7587074167009
2077,ssp370,Widebody,90.1923,90.2291220742182
2077,ssp585,Narrowbody,83.8156,83.8230724482134
2077,ssp585,Widebody,90.28895,90.2937340796193
2078,ssp126,Narrowbody,83.5543,83.5681048921179
2078,ssp126,Widebody,90.03015,90.0418351830004
2078,ssp245,Narrowbody,83.6595,83.6704170638688
2078,ssp245,Widebody,90.1309,90.1415567601537
2078,ssp370,Narrowbody,83.78535,83.7637712003767
2078,ssp370,Widebody,90.25685,90.234205397029
2078,ssp585,Narrowbody,83.81585,83.8305167224159
2078,ssp585,Widebody,90.28735,90.3011345070408
2079,ssp126,Narrowbody,83.5733,83.567719104821
2079,ssp126,Widebody,90.04905,90.0413854272777
2079,ssp245,Narrowbody,83.64465,83.6723516462125
2079,ssp245,Widebody,90.1148,90.1434833403438
