itr_avg,year,exp,zone,type,itr_sum,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko
24.4917527358491,2074,ssp126,Subtropical,Narrowbody,7580688,95199,98448,56396,250043,59477,
48.0266685377358,2074,ssp126,Subtropical,Widebody,14865211,16980,137347,43001,197328,112192,
24.6846751886793,2074,ssp245,Subtropical,Narrowbody,7640400,94483,99241,55821,249545,59975,
48.4536048584906,2074,ssp245,Subtropical,Widebody,14997358,16102,138014,42220,196336,113184,
24.8247062735849,2074,ssp370,Subtropical,Narrowbody,7683743,94089,99035,56935,250059,59461,
48.9286697641509,2074,ssp370,Subtropical,Widebody,15144406,15455,137588,42570,195613,113907,
24.8608975,2074,ssp585,Subtropical,Narrowbody,7694945,94010,98971,56802,249783,59737,
48.9028546698113,2074,ssp585,Subtropical,Widebody,15136412,15639,137400,42561,195600,113920,
24.5431214150943,2075,ssp126,Subtropical,Narrowbody,7596587,95292,97978,56422,249692,59828,
48.0566888679246,2075,ssp126,Subtropical,Widebody,14874509,17141,136974,42990,197105,112415,
24.5882425943396,2075,ssp245,Subtropical,Narrowbody,7610552,94880,98987,56088,249955,59565,
48.2729835849057,2075,ssp245,Subtropical,Widebody,14941459,16097,138037,42729,196863,112657,
24.8130977358491,2075,ssp370,Subtropical,Narrowbody,7680150,93580,99663,56465,249708,59812,
48.9153740566038,2075,ssp370,Subtropical,Widebody,15140286,15082,138109,42406,195597,113923,
24.9898164150943,2075,ssp585,Subtropical,Narrowbody,7734848,92801,100593,56124,249518,60002,
49.2891772169812,2075,ssp585,Subtropical,Widebody,15255987,15288,137639,41604,194531,114989,
24.61566,2076,ssp126,Subtropical,Narrowbody,7639913,94794,99339,56448,250581,59787,
48.4490828301887,2076,ssp126,Subtropical,Widebody,15037044,16314,137652,42849,196815,113553,
24.7230259905661,2076,ssp245,Subtropical,Narrowbody,7673236,94188,100087,56235,250510,59858,
48.7529423584906,2076,ssp245,Subtropical,Widebody,15131352,15281,138879,42403,196563,113805,
24.6744820754717,2076,ssp370,Subtropical,Narrowbody,7658170,94387,99850,56612,250849,59519,
