year,exp,type,todr_avg,todr_avg_loess
2049,ssp370,Widebody,3346.09,3344.16346766567
2049,ssp585,Narrowbody,2940.23,2936.0442950167
2049,ssp585,Widebody,3346.785,3344.58973500353
2050,ssp126,Narrowbody,2931.365,2933.56656288117
2050,ssp126,Widebody,3341.08,3342.89782852944
2050,ssp245,Narrowbody,2934.165,2933.83467771963
2050,ssp245,Widebody,3343.04,3342.94418599886
2050,ssp370,Narrowbody,2939.38,2935.73521874358
2050,ssp370,Widebody,3346.3,3344.29628713594
2050,ssp585,Narrowbody,2934.655,2936.28158731091
2050,ssp585,Widebody,3343.195,3344.74491529729
2051,ssp126,Narrowbody,2933.865,2933.62369059864
2051,ssp126,Widebody,3342.795,3342.92210950422
2051,ssp245,Narrowbody,2932.54,2933.96354961525
2051,ssp245,Widebody,3341.66,3343.02877988292
2051,ssp370,Narrowbody,2936.565,2935.92076644986
2051,ssp370,Widebody,3343.63,3344.43185887942
2051,ssp585,Narrowbody,2936.21,2936.52377216363
2051,ssp585,Widebody,3344.91,3344.90106049735
2052,ssp126,Narrowbody,2932.69,2933.67792171377
2052,ssp126,Widebody,3341.815,3342.94230124335
2052,ssp245,Narrowbody,2934.975,2934.09557753892
2052,ssp245,Widebody,3343.77,3343.11483993783
2052,ssp370,Narrowbody,2937.61,2936.10857292148
2052,ssp370,Widebody,3346.11,3344.56961977156
2052,ssp585,Narrowbody,2936.03,2936.76886558975
2052,ssp585,Widebody,3344.66,3345.05790882594
2053,ssp126,Narrowbody,2932.295,2933.72718761913
2053,ssp126,Widebody,3341.19,3342.95807422871
2053,ssp245,Narrowbody,2936.085,2934.22862819572
2053,ssp245,Widebody,3344.245,3343.20109759703
2053,ssp370,Narrowbody,2936.62,2936.2982352343
2053,ssp370,Widebody,3344.12,3344.70900668784
2053,ssp585,Narrowbody,2936.245,2937.01488360416
2053,ssp585,Widebody,3344.3,3345.21519850529
2054,ssp126,Narrowbody,2936.03,2933.76941970728
2054,ssp126,Widebody,3344.8,3342.96909894216
2054,ssp245,Narrowbody,2934.035,2934.36056829072
2054,ssp245,Widebody,3342.965,3343.28628429396
2054,ssp370,Narrowbody,2934.525,2936.48935046417
2054,ssp370,Widebody,3343.595,3344.84945650369
2054,ssp585,Narrowbody,2935.86,2937.25984222175
2054,ssp585,Widebody,3344,3345.37266775763
2055,ssp126,Narrowbody,2933.565,2933.8025493708
2055,ssp126,Widebody,3342.485,3342.97504586559
2055,ssp245,Narrowbody,2933.245,2934.48926452898
2055,ssp245,Widebody,3343.515,3343.36913146207
2055,ssp370,Narrowbody,2937.095,2936.68151568695
2055,ssp370,Widebody,3344.845,3344.99040609458
2055,ssp585,Narrowbody,2937.29,2937.5017574574
2055,ssp585,Widebody,3345.705,3345.5300548052
2056,ssp126,Narrowbody,2931.585,2933.82450800224
2056,ssp126,Widebody,3341.315,3342.97558548087
2056,ssp245,Narrowbody,2933.915,2934.61258361558
2056,ssp245,Widebody,3343.385,3343.44837053478
2056,ssp370,Narrowbody,2934.94,2936.87432797847
2056,ssp370,Widebody,3343.44,3345.13129233597
2056,ssp585,Narrowbody,2940.57,2937.73864532602
2056,ssp585,Widebody,3348.4,3345.68709787024
2057,ssp126,Narrowbody,2933.025,2933.8332269942
2057,ssp126,Widebody,3342.695,3342.97038826987
2057,ssp245,Narrowbody,2933.565,2934.72839225558
2057,ssp245,Widebody,3343.295,3343.52273294555
2057,ssp370,Narrowbody,2935.23,2937.0673844146
2057,ssp370,Widebody,3343.455,3345.27155210331
2057,ssp585,Narrowbody,2938.76,2937.96852184249
2057,ssp585,Widebody,3347.42,3345.84353517497
2058,ssp126,Narrowbody,2933.375,2933.82411805143
2058,ssp126,Widebody,3344,3342.95321669167
2058,ssp245,Narrowbody,2936.33,2934.84036615415
2058,ssp245,Widebody,3344.555,3343.59349604148
2058,ssp370,Narrowbody,2939.275,2937.26359787211
2058,ssp370,Widebody,3345.765,3345.41308068723
2058,ssp585,Narrowbody,2935.675,2938.19172367959
2058,ssp585,Widebody,3344.625,3345.9972502793
2059,ssp126,Narrowbody,2935.09,2933.79646833876
