year,exp,zone,type,avg_thr,avg_pax,avg_thr_loess,avg_pax_loess,avg_thr_per,avg_pax_per
2072,ssp370,Global,Widebody,0.91776162792151,15.9429662573161,0.917288220754999,15.6410894442083,0.0019401621959766,0.036079852504505
2073,ssp370,Global,Widebody,0.917193007808655,15.4579577441246,0.917315289964387,15.6466380926941,0.00196972948729337,0.0364473999777996
2074,ssp370,Global,Widebody,0.917734812007341,15.8738178309409,0.917342702004626,15.6523250206513,0.00199967124760552,0.0368241072078266
2075,ssp370,Global,Widebody,0.917443541051954,15.5559519779941,0.917370768559608,15.6582770770571,0.00203032792455309,0.0372183767850804
2076,ssp370,Global,Widebody,0.917525044539576,15.6471358538533,0.917399801313227,15.6646211108884,0.00206203996577639,0.0376386113000553
2077,ssp370,Global,Widebody,0.916866482209754,15.5706134042438,0.917430111949377,15.6714839711225,0.00209514781891642,0.0380932133432457
2078,ssp370,Global,Widebody,0.917560514704246,15.7478725159532,0.917462012151949,15.6789925067364,0.00212999193161287,0.0385905855051454
2079,ssp370,Global,Widebody,0.917960991892861,15.8668600054122,0.917495813604837,15.6872735667071,0.00216691275150689,0.0391391303762488
2080,ssp370,Global,Widebody,0.916891888959688,15.4787278109646,0.917530880942674,15.696042770567,0.00220521627853866,0.0397200103382339
2081,ssp370,Global,Widebody,0.917691925762997,15.7341154350928,0.91756639691802,15.7049459269028,0.00224400984559196,0.0403097634328702
2082,ssp370,Global,Widebody,0.917484833280616,15.4051560282513,0.917602400391664,15.7140051682733,0.00228333589972185,0.0409098557407894
2083,ssp370,Global,Widebody,0.917591813340543,15.647422443219,0.917638930224392,15.7232426272373,0.00232323688798288,0.0415217533426229
2084,ssp370,Global,Widebody,0.917663177783858,15.5615623294377,0.91767602527699,15.7326804363538,0.00236375525742948,0.0421469223190023
2085,ssp370,Global,Widebody,0.917927977153685,15.9120762748827,0.917713724410248,15.7423407281814,0.00240493345511706,0.0427868287505589
2086,ssp370,Global,Widebody,0.917703279669801,15.778007427362,0.917752066484951,15.752245635279,0.00244681392810018,0.0434429387179241
2087,ssp370,Global,Widebody,0.917575367634364,15.7628119352972,0.917791090361887,15.7624172902055,0.0024894391234334,0.0441167183017299
2088,ssp370,Global,Widebody,0.918288263220279,15.8224208668375,0.917830834901843,15.7728778255197,0.00253285148817177,0.0448096335826077
2089,ssp370,Global,Widebody,0.917720745595478,15.7057814706301,0.917871338965605,15.7836493737805,0.00257709346936982,0.0455231506411884
2090,ssp370,Global,Widebody,0.917409629623653,15.6117367931952,0.917912641413962,15.7947540675466,0.00262220751408274,0.0462587355581043
2091,ssp370,Global,Widebody,0.917313075525533,15.7646059441992,0.917954756158647,15.8062076810781,0.00266820881788873,0.0470174332345479
2092,ssp370,Global,Widebody,0.917587542219634,15.780225849008,0.917997658697925,15.818003330609,0.00271507061790928,0.0477987876836594
2093,ssp370,Global,Widebody,0.918218492680228,15.8073130956962,0.918041330272376,15.8301291616591,0.00276277242351293,0.0486020136539907
2094,ssp370,Global,Widebody,0.91855986591659,15.997713799251,0.918085752122582,15.8425733197481,0.00281129374406866,0.0494263258940947
2095,ssp370,Global,Widebody,0.918760392961762,16.0937397413831,0.918130905489127,15.8553239503958,0.00286061408894563,0.0502709391525233
2096,ssp370,Global,Widebody,0.918157395989157,15.8084551944249,0.918176771612591,15.8683691991221,0.00291071296751296,0.0511350681778295
2097,ssp370,Global,Widebody,0.91774048806635,15.7586261105787,0.918223331733556,15.8816972114465,0.00296156988913892,0.0520179277185646
2098,ssp370,Global,Widebody,0.91883491476449,16.1626333844638,0.918270567092603,15.895296132889,0.00301316436319266,0.0529187325232818
2099,ssp370,Global,Widebody,0.918009672477388,15.8028411784513,0.918318458930316,15.9091541089693,0.00306547589904354,0.0538366973405333
2100,ssp370,Global,Widebody,0.918482230883637,15.8921970673071,0.918366988487275,15.9232592852071,0.00311848400605996,0.0547710369188708
2015,ssp585,Global,Narrowbody,0.865066997994946,8.38628085749695,0.865055900792975,8.33515261982784,0,0
2016,ssp585,Global,Narrowbody,0.864879596789044,8.28403136181013,0.865071083242985,8.34144263845972,1.75508311033273e-05,0.000754637487610219
2017,ssp585,Global,Narrowbody,0.864855850733657,8.28622237816927,0.865086445157995,8.34761842786106,3.53091227874962e-05,0.00149557045944953
2018,ssp585,Global,Narrowbody,0.865358300211076,8.42603735807202,0.865101980969327,8.35368075169087,5.32684376916853e-05,0.00222289053459563
2019,ssp585,Global,Narrowbody,0.865363874794562,8.39398699010121,0.865117685108305,8.35963037360813,7.14223384557151e-05,0.00293668933212539
2020,ssp585,Global,Narrowbody,0.865171613369849,8.35835604809946,0.865133552006252,8.36546805727183,8.9764387718251e-05,0.00363705847111587
2021,ssp585,Global,Narrowbody,0.865437197733321,8.40662912862319,0.865149576094492,8.37119456634097,0.00010828814811937,0.00432408957064414
2022,ssp585,Global,Narrowbody,0.865367641954375,8.43595076907317,0.865165751804348,8.37681066447453,0.000126987182298251,0.00499787424978771
2023,ssp585,Global,Narrowbody,0.865281229952016,8.45428640293704,0.865182073567142,8.38231711533151,0.000145855052893944,0.0056585041276232
2024,ssp585,Global,Narrowbody,0.864924486499214,8.28031603367197,0.865198535814198,8.38771468257089,0.000164885322546141,0.00630607082322792
2025,ssp585,Global,Narrowbody,0.864693748771273,8.26283316659701,0.86521513297684,8.39300412985167,0.000184071553894406,0.00694066595567913
2026,ssp585,Global,Narrowbody,0.865226581885864,8.41721598752708,0.865231841645582,8.39818365954245,0.000203386685698605,0.00756207385629219
2027,ssp585,Global,Narrowbody,0.865082032369337,8.36766427932075,0.865248651450762,8.40325039899354,0.000222818730685483,0.00816994988234563
2028,ssp585,Global,Narrowbody,0.864985252982335,8.35856966694202,0.86526557638344,8.4082034993365,0.000242383862444861,0.00876419219186062
2029,ssp585,Global,Narrowbody,0.865098321200907,8.33659634883285,0.865282630434675,8.41304211170291,0.00026209825456566,0.00934469894285786
2030,ssp585,Global,Narrowbody,0.865702413830738,8.49727949895886,0.865299827595525,8.4177653872243,0.000281978080637316,0.00991136829335785
2031,ssp585,Global,Narrowbody,0.865452017376357,8.46664170259834,0.86531718185705,8.42237247703226,0.000302039514249522,0.0104640984013824
