year,exp,type,zone,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko,tko_ok_thr_min_per,tko_ok_thr_mid_per,tko_ok_thr_max_per,tko_ok_per,tko_ko_per,tko_per,tko_ok_thr_min_per_loess,tko_ko_per_loess
2079,ssp126,Widebody,Temperate,26730,572066,481232,1080028,412092,1492120,0.0179141087848162,0.383391416239981,0.322515615366056,0.723821140390853,0.276178859609147,1,0.0182651859457015,0.276520996037375
2079,ssp245,Narrowbody,Temperate,551505,513819,185349,1250673,241447,1492120,0.369611693429483,0.344355011661261,0.124218561509798,0.838185266600542,0.161814733399459,1,0.368229392231471,0.161826443587829
2079,ssp245,Widebody,Temperate,26382,570939,479577,1076898,415222,1492120,0.0176808835750476,0.38263611505777,0.321406455244887,0.721723453877704,0.278276546122296,1,0.0176055556387279,0.278785307696201
2079,ssp370,Narrowbody,Temperate,541708,521392,183668,1246768,245352,1492120,0.363045867624588,0.349430340723266,0.123091976516634,0.835568184864488,0.164431815135512,1,0.364960368861837,0.163500675348338
2079,ssp370,Widebody,Temperate,23047,572425,474389,1069861,422259,1492120,0.015445808648098,0.383632013510978,0.317929523094657,0.717007345253733,0.282992654746267,1,0.0164826674512627,0.281558367511984
2079,ssp585,Narrowbody,Temperate,542296,519911,185010,1247217,244903,1492120,0.363439937806611,0.348437793206981,0.123991367986489,0.83586909900008,0.16413090099992,1,0.364009527378484,0.164242692307198
2079,ssp585,Widebody,Temperate,24765,571027,473275,1069067,423053,1492120,0.0165971905744846,0.382695091547597,0.317182934348444,0.716475216470525,0.283524783529475,1,0.0166632654230508,0.28270913393638
2080,ssp126,Narrowbody,Temperate,557034,513492,187844,1258370,237838,1496208,0.37229716723878,0.34319559847294,0.12554671542994,0.84103948114166,0.158960518858341,1,0.370596418880242,0.160451987268295
2080,ssp126,Widebody,Temperate,28676,572992,483534,1085202,411006,1496208,0.0191657844363885,0.382962796616513,0.323172981296718,0.72530156234962,0.27469843765038,1,0.0182697076426896,0.276522754365055
2080,ssp245,Narrowbody,Temperate,551594,517141,185950,1254685,241523,1496208,0.368661309122796,0.345634430506988,0.124280848652059,0.838576588281843,0.161423411718157,1,0.368176469530449,0.161849574369477
2080,ssp245,Widebody,Temperate,27865,571480,479791,1079136,417072,1496208,0.0186237475003475,0.381952241934277,0.320671323773165,0.721247313207789,0.278752686792211,1,0.017594436530893,0.278833145000127
2080,ssp370,Narrowbody,Temperate,548466,518643,185293,1252402,243806,1496208,0.366570690706105,0.346638301626512,0.123841738581801,0.837050730914418,0.162949269085582,1,0.364826656937675,0.163561738029006
2080,ssp370,Widebody,Temperate,25227,573062,478366,1076655,419553,1496208,0.0168606236566039,0.383009581555506,0.319718916086533,0.719589121298643,0.280410878701357,1,0.016445801637728,0.28166863744992
