year,exp,zone,type,itr_sum,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max, tko_ok , tko_ko , tko ,itr_avg,tko_ok_thr_min_rel,tko_ok_thr_mid_rel,tko_ok_thr_max_rel,tko_ok_rel,tko_ko_rel,tko_rel,tko_ok_thr_min_rel_loess,tko_ko_rel_loess,rel_total,rel_success
2025,ssp126,Temperate,Narrowbody,30180048,508868,429386,342133," 1,280,387 "," 211,733 "," 1,492,120 ",20.22628719,0.341036914,0.28776908,0.22929322,0.858099215,0.141900785,1,0.341303682,0.142226755,0.341036914,0.397432964
2025,ssp126,Temperate,Widebody,62139687,74561,654587,324996," 1,054,144 "," 437,976 "," 1,492,120 ",41.64524102,0.049969842,0.438695949,0.217808219,0.70647401,0.29352599,1,0.049827593,0.293394811,0.049969842,0.070731323
2025,ssp245,Temperate,Narrowbody,30097815,511516,425875,342405," 1,279,796 "," 212,324 "," 1,492,120 ",20.17117588,0.34281157,0.285416052,0.229475511,0.857703134,0.142296866,1,0.341377271,0.142208028,0.34281157,0.399685575
2025,ssp245,Temperate,Widebody,61747685,75690,653149,327459," 1,056,298 "," 435,822 "," 1,492,120 ",41.3825268,0.050726483,0.43773222,0.219458891,0.707917594,0.292082406,1,0.049686837,0.293238581,0.050726483,0.071655915
2025,ssp370,Temperate,Narrowbody,30107564,509297,428392,342856," 1,280,545 "," 211,575 "," 1,492,120 ",20.17771033,0.341324424,0.287102914,0.229777766,0.858205104,0.141794896,1,0.341153587,0.14235949,0.341324424,0.39771894
2025,ssp370,Temperate,Widebody,62052217,73624,655581,326158," 1,055,363 "," 436,757 "," 1,492,120 ",41.58661371,0.049341876,0.439362116,0.218586977,0.707290969,0.292709031,1,0.04959411,0.29353231,0.049341876,0.069761779
2025,ssp585,Temperate,Narrowbody,30190672,509594,428070,342060," 1,279,724 "," 212,396 "," 1,492,120 ",20.23340754,0.34152347,0.286887114,0.229244297,0.85765488,0.14234512,1,0.341212332,0.142354169,0.34152347,0.398206176
2025,ssp585,Temperate,Widebody,62041928,75977,651982,326372," 1,054,331 "," 437,789 "," 1,492,120 ",41.57971729,0.050918827,0.436950111,0.218730397,0.706599335,0.293400665,1,0.049372431,0.293399848,0.050918827,0.07206181
2026,ssp126,Temperate,Narrowbody,30218198,508583,428105,342706," 1,279,394 "," 212,726 "," 1,492,120 ",20.25185486,0.340845911,0.28691057,0.229677238,0.857433718,0.142566282,1,0.341283778,0.142255563,0.340845911,0.397518669
2026,ssp126,Temperate,Widebody,62194965,74598,653476,325690," 1,053,764 "," 438,356 "," 1,492,120 ",41.68228075,0.049994639,0.437951371,0.218273329,0.706219339,0.293780661,1,0.049815917,0.293436422,0.049994639,0.070791942
2026,ssp245,Temperate,Narrowbody,30185916,509855,426898,342833," 1,279,586 "," 212,534 "," 1,492,120 ",20.23022044,0.341698389,0.286101654,0.229762352,0.857562394,0.142437606,1,0.341368737,0.142212782,0.341698389,0.398453093
2026,ssp245,Temperate,Widebody,62072188,74770,653872,326122," 1,054,764 "," 437,356 "," 1,492,120 ",41.59999217,0.050109911,0.438216765,0.21856285,0.706889526,0.293110474,1,0.049679252,0.293254551,0.050109911,0.070887895
2026,ssp370,Temperate,Narrowbody,30217844,509046,428951,341335," 1,279,332 "," 212,788 "," 1,492,120 ",20.25161766,0.341156207,0.287477549,0.228758411,0.857392167,0.142607833,1,0.341122212,0.142370844,0.341156207,0.397899841
