year,exp,zone,type,avg_todr,avg_thr,avg_pax,avg_todr_loess,avg_thr_loess,avg_pax_loess,avg_todr_per,avg_thr_per,avg_pax_per
2064,ssp245,Subtropical,Narrowbody,2874.3607253886,0.866544481689119,9.91015026031803,2873.62168737514,0.866207778526966,9.86599529756761,0.00150482531783142,0.000965930356733703,0.0158627116318162
2065,ssp245,Subtropical,Narrowbody,2878.92088541667,0.865854179276042,9.60546188284243,2873.70636962348,0.866213640476125,9.86796122851247,0.00153433848607632,0.000972704264263951,0.0160651358049784
2066,ssp245,Subtropical,Narrowbody,2872.83948186529,0.86638192597202,9.97845752266095,2873.79038787803,0.866219393155266,9.86974503794718,0.00156362024146953,0.000979351902361473,0.016248807642915
2067,ssp245,Subtropical,Narrowbody,2869.16592783505,0.866590458891753,10.1254941773907,2873.8737293113,0.866225002843827,9.87124193920847,0.00159266611342306,0.00098583430446933,0.016402937675261
2068,ssp245,Subtropical,Narrowbody,2876.74885416667,0.865685175979688,9.72043620349617,2873.95638109584,0.866230435821245,9.87234714563309,0.00162147163134954,0.000992112504030838,0.0165167364316518
2069,ssp245,Subtropical,Narrowbody,2873.94331606218,0.86633881847513,9.97938715776308,2874.03858041379,0.866235198696035,9.87303792514844,0.00165011945716992,0.000997616351391695,0.0165878632800281
2070,ssp245,Subtropical,Narrowbody,2874.64901554404,0.866383197011917,10.035542369841,2874.1205274291,0.86623900152049,9.87342077002078,0.0016786793513308,0.00100201079094002,0.016627283309981
2071,ssp245,Subtropical,Narrowbody,2876.44744791667,0.865762061432292,9.74052212051006,2874.2021537869,0.866242115739711,9.87358473009505,0.00170712749103287,0.00100560949718169,0.0166441656336216
2072,ssp245,Subtropical,Narrowbody,2867.85618556701,0.866976361464948,10.2794513144922,2874.28339113235,0.866244812798795,9.87361885521621,0.00173544005347609,0.0010087261446219,0.01664767936306
2073,ssp245,Subtropical,Narrowbody,2873.90943005181,0.866398554702591,9.90698035376094,2874.36417111059,0.866247364142844,9.87361219522921,0.00176359321586067,0.00101167440776667,0.0166469936104065
2074,ssp245,Subtropical,Narrowbody,2872.72512953368,0.8661864850243,9.87455540867131,2874.44442536677,0.866250041216956,9.87365379997901,0.00179156315538752,0.00101476796112185,0.0166512774877723
2075,ssp245,Subtropical,Narrowbody,2871.03507772021,0.866030246602073,9.99348779191233,2874.52408554605,0.866253115466232,9.87383271931055,0.0018193260492567,0.00101832047919278,0.0166697001072675
2076,ssp245,Subtropical,Narrowbody,2879.19041666667,0.865962074932292,9.6501108755388,2874.60308329356,0.866256858335771,9.87423800306881,0.00184685807466848,0.0010226456364856,0.0167114305810031
2077,ssp245,Subtropical,Narrowbody,2873.30393782383,0.866534589170985,9.96810433243999,2874.68135025445,0.866261541270673,9.87495870109872,0.0018741354088234,0.00102805710750552,0.0167856380210894
2078,ssp245,Subtropical,Narrowbody,2872.80326424871,0.866214680763731,9.89440729015544,2874.75881807389,0.866267435716037,9.87608386324525,0.00190113422892187,0.0010348685667584,0.0169014915396368
2079,ssp245,Subtropical,Narrowbody,2874.39367875648,0.866392450684456,9.91617918378894,2874.835418397,0.866274813116963,9.87770253935335,0.00192783071216414,0.00104339368875011,0.0170681602487564
2080,ssp245,Subtropical,Narrowbody,2879.15869791667,0.866108372913542,9.65245286093152,2874.91126177096,0.866283110204374,9.87963285114557,0.00195426338606704,0.00105298157519586,0.0172669168579379
2081,ssp245,Subtropical,Narrowbody,2876.31170984456,0.86646998138342,9.88380280358525,2874.98649265165,0.866291625022797,9.8816466767283,0.00198048259590929,0.00106282106562273,0.0174742725534886
2082,ssp245,Subtropical,Narrowbody,2876.228125,0.865599625177605,9.63510960063458,2875.06109354736,0.866300420987743,9.88376370052221,0.00200648224553505,0.00107298544125408,0.0176922541627441
2083,ssp245,Subtropical,Narrowbody,2872.4914507772,0.866282787207254,9.9241343688881,2875.13504696637,0.866309561514722,9.88600360694798,0.00203225623878738,0.00108354798331237,0.01792288851304
2084,ssp245,Subtropical,Narrowbody,2875.53471502591,0.866728651792746,9.98873188244893,2875.20833541693,0.866319110019246,9.88838608042627,0.00205779847951031,0.0010945819730211,0.0181682024317121
