zone,exp,year,avg_min_rho,loess_avg_min_rho
Frigid,ssp245,2076,-0.00418000000000007,-0.00711757914083265
Frigid,ssp245,2077,-0.00895999999999986,-0.00729780204677689
Frigid,ssp245,2078,-0.0137449999999999,-0.00745078259815821
Frigid,ssp245,2079,0.00190500000000005,-0.0075707093898157
Frigid,ssp245,2080,-0.00448000000000004,-0.00766837328452321
Frigid,ssp245,2081,-0.00926999999999989,-0.00775817812628609
Frigid,ssp245,2082,-0.0183500000000001,-0.00783973198179066
Frigid,ssp245,2083,-0.00269499999999989,-0.00791264291772323
Frigid,ssp245,2084,-0.00594499999999987,-0.00797651900077014
Frigid,ssp245,2085,-0.00447999999999982,-0.00803096829761772
Frigid,ssp245,2086,-0.00682000000000005,-0.00807559887495227
Frigid,ssp245,2087,-0.00258000000000003,-0.00811001879946013
Frigid,ssp245,2088,-0.0227449999999998,-0.00813383613782763
Frigid,ssp245,2089,-0.0157399999999999,-0.00814665895674108
Frigid,ssp245,2090,-0.0145500000000001,-0.00814809532288681
Frigid,ssp245,2091,-0.0122449999999998,-0.00813788728219695
Frigid,ssp245,2092,-0.0119800000000001,-0.00811617453451213
Frigid,ssp245,2093,-0.00771000000000011,-0.0080831616273814
Frigid,ssp245,2094,-0.0123899999999999,-0.00803905310835384
Frigid,ssp245,2095,-0.0027600000000001,-0.00798405352497849
Frigid,ssp245,2096,0.00533000000000006,-0.00791836742480443
Frigid,ssp245,2097,-0.00839999999999996,-0.00784219935538071
Frigid,ssp245,2098,-0.00744000000000011,-0.00775575386425639
Frigid,ssp245,2099,-0.01023,-0.00765923549898055
Frigid,ssp245,2100,-0.00441500000000006,-0.00755284880710223
Frigid,ssp370,2015,0,0.00264782918638916
Frigid,ssp370,2016,0.00372499999999998,0.00221715840682002
Frigid,ssp370,2017,-0.00143500000000008,0.00179560536644568
Frigid,ssp370,2018,0.00974999999999993,0.00138326174080002
Frigid,ssp370,2019,-0.01427,0.000980219205416877
Frigid,ssp370,2020,0.00126500000000007,0.000586569435830133
Frigid,ssp370,2021,0.00114499999999995,0.000202404107573646
Frigid,ssp370,2022,-0.00422499999999992,-0.000172185103818722
Frigid,ssp370,2023,-0.000105000000000022,-0.000537106522813108
Frigid,ssp370,2024,0.00936000000000003,-0.000892268473875648
Frigid,ssp370,2025,0.00637500000000002,-0.00123757928147248
Frigid,ssp370,2026,0.00144499999999992,-0.00157238692105254
Frigid,ssp370,2027,0.00348999999999999,-0.00189631476245026
Frigid,ssp370,2028,0.000709999999999988,-0.00220968422171005
Frigid,ssp370,2029,-0.00546000000000002,-0.00251281671487629
Frigid,ssp370,2030,-0.00688,-0.0028060336579934
Frigid,ssp370,2031,-0.00198000000000009,-0.00308965646710577
Frigid,ssp370,2032,0.00123000000000006,-0.00336400655825779
Frigid,ssp370,2033,-0.00517000000000012,-0.00362940534749386
Frigid,ssp370,2034,-0.00749500000000003,-0.00388617425085838
Frigid,ssp370,2035,-0.00982499999999997,-0.00413463468439575
Frigid,ssp370,2036,-0.01017,-0.00437510806415037
Frigid,ssp370,2037,-0.00595999999999997,-0.00460896776493913
Frigid,ssp370,2038,-0.00313499999999989,-0.00483682256204867
Frigid,ssp370,2039,-0.00697499999999995,-0.00505784697222801
Frigid,ssp370,2040,-0.00167000000000006,-0.00527121551222616
Frigid,ssp370,2041,-0.00183,-0.00547610269879212
Frigid,ssp370,2042,-0.00867500000000021,-0.00567168304867492
Frigid,ssp370,2043,-0.0170949999999999,-0.00585713107862355
Frigid,ssp370,2044,-0.00848499999999985,-0.00603162130538704
Frigid,ssp370,2045,0.00130000000000008,-0.00619432824571439
Frigid,ssp370,2046,-0.0143249999999999,-0.00634442641635461
Frigid,ssp370,2047,0.00110999999999994,-0.00648109033405672
Frigid,ssp370,2048,-0.00213999999999981,-0.00656913532440521
Frigid,ssp370,2049,-0.0078100000000001,-0.00658613412079479
Frigid,ssp370,2050,-0.00497999999999998,-0.00655039735168981
Frigid,ssp370,2051,-0.014845,-0.00648023564555461
Frigid,ssp370,2052,-0.00158000000000014,-0.00639395963085353
Frigid,ssp370,2053,0.000725000000000087,-0.00630987993605093
Frigid,ssp370,2054,-0.00180999999999987,-0.00624630718961114
Frigid,ssp370,2055,-0.00655000000000006,-0.00622155201999851
Frigid,ssp370,2056,-0.0107900000000001,-0.00625392505567738
Frigid,ssp370,2057,-0.00106500000000009,-0.00636173692511209
Frigid,ssp370,2058,-0.0119549999999999,-0.00654468165416022
Frigid,ssp370,2059,-0.011525,-0.00678251155914335
Frigid,ssp370,2060,-0.00878000000000001,-0.00706362470422189
Frigid,ssp370,2061,-0.022475,-0.0073764191535562
Frigid,ssp370,2062,0.000725000000000087,-0.00770929297130669
Frigid,ssp370,2063,0.00428999999999991,-0.00805064422163374
Frigid,ssp370,2064,-0.00724999999999998,-0.00838887096869774
Frigid,ssp370,2065,-0.00744499999999992,-0.00871237127665908
Frigid,ssp370,2066,-0.00868000000000002,-0.00900954320967814
Frigid,ssp370,2067,-0.00668500000000005,-0.00926878483191531
Frigid,ssp370,2068,0.00151999999999997,-0.00947849420753098
Frigid,ssp370,2069,-0.01308,-0.00965293935703282
Frigid,ssp370,2070,0.001085,-0.00981522143123343
Frigid,ssp370,2071,-0.0199549999999999,-0.0099669881897506
Frigid,ssp370,2072,-0.0119899999999999,-0.0101098873922021
Frigid,ssp370,2073,-0.0117150000000001,-0.0102455667982057
Frigid,ssp370,2074,-0.02033,-0.0103756741673793
Frigid,ssp370,2075,-0.01616,-0.0105018572593405
Frigid,ssp370,2076,-0.00873500000000016,-0.0106257638337072
Frigid,ssp370,2077,-0.0125550000000001,-0.0107490416500971
Frigid,ssp370,2078,-0.00452999999999992,-0.0108733384681281
Frigid,ssp370,2079,-0.02281,-0.0110003020474179
Frigid,ssp370,2080,-0.0196649999999998,-0.0111282687986501
Frigid,ssp370,2081,-0.00600000000000001,-0.0112542037498097
Frigid,ssp370,2082,-0.0183249999999999,-0.0113776975864667
Frigid,ssp370,2083,-0.011565,-0.0114983409941912
Frigid,ssp370,2084,-0.0139550000000002,-0.0116157246585533
Frigid,ssp370,2085,-0.00823499999999999,-0.0117294392651229
Frigid,ssp370,2086,0.00137000000000009,-0.0118390754994701
Frigid,ssp370,2087,-0.00366,-0.011944224047165
Frigid,ssp370,2088,-0.0143,-0.0120444755937775
Frigid,ssp370,2089,-0.00967000000000007,-0.0121394208248778
Frigid,ssp370,2090,-0.0129700000000001,-0.0122286504260359
Frigid,ssp370,2091,-0.016275,-0.012312713413954
Frigid,ssp370,2092,-0.00642500000000013,-0.0123924901243298
Frigid,ssp370,2093,-0.00709500000000007,-0.012468068221226
Frigid,ssp370,2094,-0.010805,-0.0125395353687055
Frigid,ssp370,2095,-0.01172,-0.0126069792308311
Frigid,ssp370,2096,-0.01719,-0.0126704874716656
Frigid,ssp370,2097,-0.0101199999999999,-0.0127301477552717
Frigid,ssp370,2098,-0.0191949999999999,-0.0127860477457124
Frigid,ssp370,2099,-0.01186,-0.0128382751070503
Frigid,ssp370,2100,-0.0171999999999999,-0.0128869175033484
Frigid,ssp585,2015,0,0.00739369681597823
Frigid,ssp585,2016,0.00995499999999994,0.00742920059016893
Frigid,ssp585,2017,0.0103249999999999,0.00745624247740754
Frigid,ssp585,2018,0.0148300000000001,0.00747484622949576
Frigid,ssp585,2019,0.00741499999999995,0.0074850355982353
Frigid,ssp585,2020,-0.00305500000000003,0.00748683433542785
Frigid,ssp585,2021,0.01189,0.00748026619287511
Frigid,ssp585,2022,0.00583000000000022,0.0074653549223788
Frigid,ssp585,2023,0.01576,0.00744212427574059
Frigid,ssp585,2024,0.000974999999999948,0.00741059800476221
Frigid,ssp585,2025,0.014845,0.00737079986124534
Frigid,ssp585,2026,0.00564999999999993,0.0073227703199137
Frigid,ssp585,2027,0.00222499999999992,0.00726648115863122
Frigid,ssp585,2028,0.0151399999999999,0.00720185308390999
Frigid,ssp585,2029,0.00913000000000008,0.00712880680226205
Frigid,ssp585,2030,-0.00387500000000007,0.00704726302019948
Frigid,ssp585,2031,0.00197999999999987,0.00695714244423434
Frigid,ssp585,2032,0.0113700000000001,0.00685836578087869
Frigid,ssp585,2033,0.00614000000000003,0.00675085373664459
Frigid,ssp585,2034,0.00572499999999998,0.0066345270180441
Frigid,ssp585,2035,-0.00513000000000008,0.00650930633158931
Frigid,ssp585,2036,0.018375,0.00637511238379225
Frigid,ssp585,2037,0.00190500000000005,0.00623731408065186
Frigid,ssp585,2038,0.00772499999999998,0.00609999805215725
Frigid,ssp585,2039,0.00754999999999995,0.00596116159080578
Frigid,ssp585,2040,0.0134100000000001,0.00581880198909483
Frigid,ssp585,2041,0.00182499999999997,0.00567091653952177
Frigid,ssp585,2042,0.0132749999999999,0.00551550253458394
Frigid,ssp585,2043,0.00331000000000015,0.00535055726677874
Frigid,ssp585,2044,0.00539499999999982,0.00517407802860352
Frigid,ssp585,2045,0.00402500000000017,0.00498406211255565
Frigid,ssp585,2046,0.00799000000000016,0.0047785068111325
