year,exp,type,zone,vlof_avg,vlof_avg_loess
2043,ssp126,Widebody,Temperate,89.7275,89.6973806286267
2043,ssp245,Narrowbody,Temperate,83.1862,83.1862234914809
2043,ssp245,Widebody,Temperate,89.7086,89.7062645650499
2043,ssp370,Narrowbody,Temperate,83.18895,83.2201352997087
2043,ssp370,Widebody,Temperate,89.7091,89.7383179897865
2043,ssp585,Narrowbody,Temperate,83.23835,83.2284514923312
2043,ssp585,Widebody,Temperate,89.76025,89.7467878935971
2044,ssp126,Narrowbody,Temperate,83.16615,83.1803335140982
2044,ssp126,Widebody,Temperate,89.6843,89.6987972644214
2044,ssp245,Narrowbody,Temperate,83.2128,83.1890453082636
2044,ssp245,Widebody,Temperate,89.72805,89.7091057076497
2044,ssp370,Narrowbody,Temperate,83.2417,83.2253876601811
2044,ssp370,Widebody,Temperate,89.76885,89.7435684293866
2044,ssp585,Narrowbody,Temperate,83.24455,83.2346624856215
2044,ssp585,Widebody,Temperate,89.76285,89.7528833398812
2045,ssp126,Narrowbody,Temperate,83.20125,83.1817268838918
2045,ssp126,Widebody,Temperate,89.7253,89.7001976493969
2045,ssp245,Narrowbody,Temperate,83.21505,83.1919074196973
2045,ssp245,Widebody,Temperate,89.73705,89.7119757145529
2045,ssp370,Narrowbody,Temperate,83.19365,83.2306372915856
2045,ssp370,Widebody,Temperate,89.7092,89.7488118494352
2045,ssp585,Narrowbody,Temperate,83.24775,83.2408942437377
2045,ssp585,Widebody,Temperate,89.77275,89.7590037062687
2046,ssp126,Narrowbody,Temperate,83.24355,83.183111887558
2046,ssp126,Widebody,Temperate,89.7518,89.701591519737
2046,ssp245,Narrowbody,Temperate,83.2337,83.1948041980356
2046,ssp245,Widebody,Temperate,89.7493,89.714868340003
2046,ssp370,Narrowbody,Temperate,83.23335,83.2358284367659
2046,ssp370,Widebody,Temperate,89.7492,89.7539904721555
2046,ssp585,Narrowbody,Temperate,83.1486,83.2470943248072
2046,ssp585,Widebody,Temperate,89.6719,89.7651008042734
2047,ssp126,Narrowbody,Temperate,83.17415,83.1844972536308
2047,ssp126,Widebody,Temperate,89.69545,89.7029886116254
2047,ssp245,Narrowbody,Temperate,83.2044,83.197730015532
2047,ssp245,Widebody,Temperate,89.723,89.7177773382437
2047,ssp370,Narrowbody,Temperate,83.24145,83.2409053385655
2047,ssp370,Widebody,Temperate,89.76465,89.7590465197709
2047,ssp585,Narrowbody,Temperate,83.2581,83.2532102869577
2047,ssp585,Widebody,Temperate,89.77115,89.7711264454087
2048,ssp126,Narrowbody,Temperate,83.1251,83.1859623387717
2048,ssp126,Widebody,Temperate,89.6488,89.7044600404429
2048,ssp245,Narrowbody,Temperate,83.21735,83.2006874605131
2048,ssp245,Widebody,Temperate,89.7419,89.7206891088916
2048,ssp370,Narrowbody,Temperate,83.1835,83.2460415034772
2048,ssp370,Widebody,Temperate,89.70755,89.7641619742129
2048,ssp585,Narrowbody,Temperate,83.2558,83.2593474458789
2048,ssp585,Widebody,Temperate,89.77085,89.7771776794916
2049,ssp126,Narrowbody,Temperate,83.13075,83.1875476621902
2049,ssp126,Widebody,Temperate,89.64585,89.706040076851
2049,ssp245,Narrowbody,Temperate,83.1618,83.2036827809489
2049,ssp245,Widebody,Temperate,89.67855,89.7235996245293
2049,ssp370,Narrowbody,Temperate,83.2664,83.2514110530764
2049,ssp370,Widebody,Temperate,89.7809,89.7695184659616
2049,ssp585,Narrowbody,Temperate,83.30675,83.2656314399455
2049,ssp585,Widebody,Temperate,89.817,89.7833704445074
2050,ssp126,Narrowbody,Temperate,83.19725,83.1892036962421
2050,ssp126,Widebody,Temperate,89.7262,89.7076831899542
2050,ssp245,Narrowbody,Temperate,83.19095,83.206715838558
2050,ssp245,Widebody,Temperate,89.7094,89.7265169988495
2050,ssp370,Narrowbody,Temperate,83.3169,83.2569591528305
2050,ssp370,Widebody,Temperate,89.8294,89.7750576900626
2050,ssp585,Narrowbody,Temperate,83.2429,83.2720403113127
2050,ssp585,Widebody,Temperate,89.7582,89.7896848842227
2051,ssp126,Narrowbody,Temperate,83.16445,83.1908809132834
2051,ssp126,Widebody,Temperate,89.6789,89.709343848857
2051,ssp245,Narrowbody,Temperate,83.19445,83.2097864950592
2051,ssp245,Widebody,Temperate,89.71875,89.7294493455448
2051,ssp370,Narrowbody,Temperate,83.3748,83.2626309682072
2051,ssp370,Widebody,Temperate,89.89175,89.780721341562
2051,ssp585,Narrowbody,Temperate,83.26895,83.2785521021356
2051,ssp585,Widebody,Temperate,89.78595,89.7961011424042
2052,ssp126,Narrowbody,Temperate,83.2017,83.1925297856701
2052,ssp126,Widebody,Temperate,89.71925,89.7109765226641
2052,ssp245,Narrowbody,Temperate,83.2173,83.212894612171
2052,ssp245,Widebody,Temperate,89.7378,89.7324047783076
2052,ssp370,Narrowbody,Temperate,83.2416,83.2683716646738
2052,ssp370,Widebody,Temperate,89.7563,89.7864511155058
2052,ssp585,Narrowbody,Temperate,83.3264,83.2851448545695
2052,ssp585,Widebody,Temperate,89.84925,89.8025993628183
2053,ssp126,Narrowbody,Temperate,83.20255,83.1941007857581
2053,ssp126,Widebody,Temperate,89.7222,89.71253568048
2053,ssp245,Narrowbody,Temperate,83.24125,83.2160400516122
2053,ssp245,Widebody,Temperate,89.75285,89.7353914108308
2053,ssp370,Narrowbody,Temperate,83.2785,83.274126407698
2053,ssp370,Widebody,Temperate,89.7974,89.7921887069399
2053,ssp585,Narrowbody,Temperate,83.3086,83.2917966107696
2053,ssp585,Widebody,Temperate,89.8291,89.8091596892318
2054,ssp126,Narrowbody,Temperate,83.2217,83.1955443859034
2054,ssp126,Widebody,Temperate,89.73775,89.7139757914092
2054,ssp245,Narrowbody,Temperate,83.21495,83.2192226751014
2054,ssp245,Widebody,Temperate,89.7333,89.7384173568068
2054,ssp370,Narrowbody,Temperate,83.2819,83.2798403627472
2054,ssp370,Widebody,Temperate,89.80315,89.7978758109102
2054,ssp585,Narrowbody,Temperate,83.26965,83.298485412891
2054,ssp585,Widebody,Temperate,89.7885,89.8157622654112
2055,ssp126,Narrowbody,Temperate,83.19405,83.1968110584618
2055,ssp126,Widebody,Temperate,89.7178,89.7152513245563
2055,ssp245,Narrowbody,Temperate,83.18245,83.2224423443573
2055,ssp245,Widebody,Temperate,89.70855,89.7414907299282
2055,ssp370,Narrowbody,Temperate,83.28815,83.2854586952889
2055,ssp370,Widebody,Temperate,89.8055,89.8034541224628
2055,ssp585,Narrowbody,Temperate,83.28585,83.305189303089
2055,ssp585,Widebody,Temperate,89.80245,89.8223872351231
2056,ssp126,Narrowbody,Temperate,83.14035,83.1978512757894
2056,ssp126,Widebody,Temperate,89.65985,89.716316749026
2056,ssp245,Narrowbody,Temperate,83.2382,83.2256989210984
2056,ssp245,Widebody,Temperate,89.75945,89.7446196438877
2056,ssp370,Narrowbody,Temperate,83.26185,83.2909265707907
2056,ssp370,Widebody,Temperate,89.7846,89.8088653366435
2056,ssp585,Narrowbody,Temperate,83.36365,83.3118863235186
2056,ssp585,Widebody,Temperate,89.87735,89.8290147421341
2057,ssp126,Narrowbody,Temperate,83.1907,83.198615510242
2057,ssp126,Widebody,Temperate,89.7028,89.7171265339227
2057,ssp245,Narrowbody,Temperate,83.2082,83.2289922670436
2057,ssp245,Widebody,Temperate,89.7332,89.7478122123778
2057,ssp370,Narrowbody,Temperate,83.25015,83.2961891547202
2057,ssp370,Widebody,Temperate,89.76985,89.8140511484983
2057,ssp585,Narrowbody,Temperate,83.32405,83.3185545163352
2057,ssp585,Widebody,Temperate,89.84085,89.8356249302108
2058,ssp126,Narrowbody,Temperate,83.1745,83.1991049974468
2058,ssp126,Widebody,Temperate,89.69375,89.7176908609795
2058,ssp245,Narrowbody,Temperate,83.23595,83.232449091597
2058,ssp245,Widebody,Temperate,89.74995,89.7511820738593
2058,ssp370,Narrowbody,Temperate,83.3206,83.3012500991273
2058,ssp370,Widebody,Temperate,89.8342,89.8190002589077
2058,ssp585,Narrowbody,Temperate,83.3125,83.3251871040723
2058,ssp585,Widebody,Temperate,89.83375,89.8422155727933
2059,ssp126,Narrowbody,Temperate,83.1989,83.1993798011571
2059,ssp126,Widebody,Temperate,89.71495,89.718070963007
2059,ssp245,Narrowbody,Temperate,83.2716,83.2361566895421
2059,ssp245,Widebody,Temperate,89.7871,89.7547987243488
2059,ssp370,Narrowbody,Temperate,83.34885,83.3061675506266
2059,ssp370,Widebody,Temperate,89.8669,89.8237643151507
2059,ssp585,Narrowbody,Temperate,83.361,83.3318008979384
2059,ssp585,Widebody,Temperate,89.8775,89.8488041434543
2060,ssp126,Narrowbody,Temperate,83.22875,83.199478635918
2060,ssp126,Widebody,Temperate,89.7475,89.7182978857259
2060,ssp245,Narrowbody,Temperate,83.2227,83.2400558006668
2060,ssp245,Widebody,Temperate,89.74135,89.7586040638726
2060,ssp370,Narrowbody,Temperate,83.3285,83.310968416532
2060,ssp370,Widebody,Temperate,89.8474,89.8283794318715
2060,ssp585,Narrowbody,Temperate,83.38905,83.3384093231014
2060,ssp585,Widebody,Temperate,89.9011,89.855400336159
2061,ssp126,Narrowbody,Temperate,83.2277,83.1994402162747
2061,ssp126,Widebody,Temperate,89.7516,89.7184026748568
2061,ssp245,Narrowbody,Temperate,83.2086,83.2440871647587
2061,ssp245,Widebody,Temperate,89.7234,89.7625399924571
2061,ssp370,Narrowbody,Temperate,83.3027,83.3156796041574
2061,ssp370,Widebody,Temperate,89.8186,89.8328817237139
2061,ssp585,Narrowbody,Temperate,83.364,83.3450258047288
2061,ssp585,Widebody,Temperate,89.88735,89.8620138448728
2062,ssp126,Narrowbody,Temperate,83.2331,83.1993032567723
2062,ssp126,Widebody,Temperate,89.74725,89.7184163761204
2062,ssp245,Narrowbody,Temperate,83.23855,83.2481915216056
2062,ssp245,Widebody,Temperate,89.75435,89.7665484101286
2062,ssp370,Narrowbody,Temperate,83.33235,83.3203280208168
2062,ssp370,Widebody,Temperate,89.855,89.8373073053221
2062,ssp585,Narrowbody,Temperate,83.31855,83.3516637679884
