year,ssp,zone,avg_tas,avg_hurs,avg_ps,avg_rho,avg_hdw,max_tas,min_rho,avg_tas_loess,avg_hurs_loess,avg_ps_loess,avg_rho_loess,avg_hdw_loess,max_tas_loess,min_rho_loess
2023,ssp585,Global,17.4262463110103,70.7200128263337,970.284593643588,1.1574346276958,2.74014562587969,54.145,0.674348,17.2742782072391,71.4827102091058,970.42479163607,1.15825575428813,2.71929208036397,54.1598312709118,0.677292631853317
2024,ssp126,Global,17.5265209988649,71.2421304199773,970.396114642451,1.15708297162316,2.68646105334847,55.614,0.683281,17.3916446011985,71.2335312853219,970.445909275373,1.15778121185708,2.6970429687391,54.4385128997832,0.676909027629169
2024,ssp245,Global,17.0710919409762,72.0163539160045,970.293894438139,1.15902886265607,2.7082979784336,54.352,0.678984,17.3237467743471,71.3143029338367,970.438132237508,1.1580667126414,2.71923186141675,54.2273155163956,0.67797013075077
2024,ssp370,Global,17.2361679909194,71.5538074914869,970.238276958002,1.15823441316686,2.7080512877412,54.615,0.676462,17.3192903266299,71.5542105066943,970.389774081178,1.15799493363287,2.71586760047169,54.3013553753938,0.677516921024028
2024,ssp585,Global,17.4303280363224,70.9440204313281,970.731855845631,1.15797080249716,2.71854647568672,54.372,0.679096,17.2980870144669,71.4625749051494,970.432631483968,1.15816020659002,2.72155788910697,54.1527529208124,0.677204828262059
2025,ssp126,Global,17.7235505107832,70.9374199772985,970.2836276958,1.15624050056754,2.68552671906925,55.378,0.673484,17.4065546665201,71.226478526719,970.448733605874,1.15772152290727,2.69516403714498,54.4413593116461,0.676976106884341
2025,ssp245,Global,17.6935437003405,70.4820231555052,970.758037457435,1.15689784222475,2.69921322701476,54.173,0.684453,17.3465221077888,71.2764124263648,970.441763832801,1.15797438555691,2.71978562269394,54.2805068267931,0.677904692214305
2025,ssp370,Global,17.0061509648127,71.6284876276959,970.052046538025,1.15901103291714,2.74135204086266,54.274,0.674395,17.3385847043972,71.5321360029583,970.402065458677,1.15792704207685,2.71664499006796,54.3564822747419,0.677565249653996
2025,ssp585,Global,17.2773564131669,71.1327631101023,970.333795686718,1.15811576049943,2.74854727332576,54.199,0.673292,17.3225317334007,71.4422420212441,970.440461770823,1.15806209794154,2.72370191443302,54.1500057686345,0.677118993102523
2026,ssp126,Global,17.2536027241771,71.4392323496027,970.332677639047,1.15826794211124,2.68704657877412,54.3080000000001,0.680133,17.4213707401161,71.218949245396,970.451720233621,1.15766232655099,2.69334418532199,54.4449534881569,0.677032960951302
2026,ssp245,Global,17.3783802497163,70.5372096481271,970.517623155506,1.15796362883088,2.70126565425653,55.2120000000001,0.675846,17.3690617437633,71.2395219363563,970.445694256982,1.15788346089771,2.72038377598903,54.3313625192661,0.677837303214563
2026,ssp370,Global,17.6195709421113,71.4911426787742,970.635769580023,1.15688760839955,2.72982673870602,55.7960000000001,0.676502,17.3588996251567,71.5104312677687,970.414382220887,1.15785465943931,2.71734192923448,54.4121461789921,0.677600908310241
2026,ssp585,Global,17.5286231555052,71.2249767309874,970.158989784335,1.15684402043133,2.73442763397276,53.842,0.674947,17.3476213736891,71.4216313473737,970.448318041751,1.15796144909537,2.72572286513075,54.151772164051,0.677035089503941
2027,ssp126,Global,17.2336821793417,71.6431658342792,970.291431328037,1.15829120998865,2.68348655157775,54.056,0.679914,17.4360677670426,71.2109527459581,970.454833037106,1.15760369377693,2.69158438459373,54.4493147914902,0.677079710700061
2027,ssp245,Global,17.5366254256527,70.5814366628832,970.203427922816,1.15682209307605,2.72022102009081,53.934,0.677117,17.3913774689783,71.2036057186946,970.449933567002,1.15779389810527,2.72102543140724,54.3799097444712,0.677768184763262
2027,ssp370,Global,17.5829988649263,71.9213071509648,970.27872985244,1.15675132349603,2.7122386215664,54.4140000000001,0.677806,17.3802405982446,71.4891025965412,970.426728376758,1.15777776862171,2.71795739281684,54.468327915965,0.677623314643007
2027,ssp585,Global,17.5541362088536,71.1328350737799,970.207231555051,1.15670115664018,2.75955915244041,53.8730000000001,0.67551,17.373389417362,71.4006329650184,970.456198926355,1.15785811628596,2.72762505142978,54.1580622411607,0.67695295889968
2028,ssp126,Global,17.4001486946652,71.2269138479001,970.724062429059,1.15805401248581,2.70520701430193,54.959,0.678153,17.450618799527,71.2025742692648,970.458036554003,1.15754570047186,2.689886357101,54.4543299530007,0.677117081122774
2028,ssp245,Global,17.3138115777526,71.3333616345063,970.196132803632,1.15779826220204,2.72446196821793,54.203,0.67773,17.4134912559838,71.1686383291128,970.454454386536,1.15770555909603,2.72170387910065,54.4262424740727,0.677697554103642
2028,ssp370,Global,17.1530340522134,71.4053637911464,970.134541430193,1.15845641657208,2.72928388535755,55.0390000000001,0.67695,17.4025551541903,71.4680909183933,970.439048240897,1.1576965431992,2.71849586287347,54.5248673247668,0.677633059659154
2028,ssp585,Global,17.3513677639047,71.0219432463109,971.017143019295,1.1586056969353,2.7458591277185,54.9570000000001,0.676861,17.3998576592881,71.379227571009,970.464067442229,1.15775194559433,2.72941378139241,54.1686944880211,0.676872501565259
2029,ssp126,Global,17.6860499432463,70.9452483541431,970.272368898979,1.15630225198638,2.67950752780931,55.125,0.673372,17.4649968897967,71.1938990561757,970.461295321984,1.15748842252254,2.68825182498457,54.459885704043,0.677145797211598
2029,ssp245,Global,17.5044880817253,71.5971324631102,970.436097616346,1.15723018388195,2.68835722690125,55.246,0.675323,17.4354250773298,71.1345943233439,970.45922933926,1.15761830578645,2.72241240922133,54.4704546797353,0.677625628478941
2029,ssp370,Global,17.3585561861521,71.3851426787742,970.483370034051,1.15795058342792,2.72415399670829,54.116,0.676665,17.4257908235228,71.4473371624422,970.45128612791,1.15761115674691,2.71896182146277,54.5816042445039,0.677630734365542
2029,ssp585,Global,17.5624199772985,70.3284140749149,970.23027014756,1.15683766742338,2.7665031585698,53.41,0.67142,17.4270478943363,71.3573958621761,970.47188660697,1.15764278310151,2.7310943630809,54.1834873926895,0.676793617776195
2030,ssp126,Global,17.3930476730988,70.9019984108967,970.144830874007,1.15742134392735,2.69337884335982,54.607,0.672719,17.4791750900791,71.1850123475504,970.464573878722,1.15743193581574,2.68668251038522,54.4658687759718,0.677166583958691
2030,ssp245,Global,17.3696220204313,71.5383448354142,970.172385925085,1.15752127014756,2.70230274710556,55.348,0.681148,17.4572009055662,71.1014482571211,970.464231048849,1.15753200009299,2.72314431192133,54.5126403331234,0.677552625132397
