"","iata","icao","name","lat","lon","zone"
"161","GDL","MMGL","Don Miguel Hidalgo Y Costilla International Airport",20.52179909,-103.310997,"Tropical"
"162","NCE","LFMN","Nice-Côte d'Azur Airport",43.65840149,7.215869904,"Temperate"
"163","OTP","LROP","Henri Coandă International Airport",44.5711111,26.085,"Temperate"
"164","HOU","KHOU","William P Hobby Airport",29.64539909,-95.27890015,"Temperate"
"165","LHW","ZLLL","Lanzhou Zhongchuan Airport",36.51520157,103.6200027,"Temperate"
"166","DAD","VVDN","Da Nang International Airport",16.04389954,108.1989975,"Tropical"
"167","GIG","SBGL","Rio Galeão – Tom Jobim International Airport",-22.80999947,-43.25055695,"Tropical"
"168","ESB","LTAC","Esenboğa International Airport",40.12810135,32.99509811,"Temperate"
"169","BGY","LIME","Milan Bergamo Airport",45.673901,9.70417,"Temperate"
"170","MSY","KMSY","Louis Armstrong New Orleans International Airport",29.99340057,-90.25800323,"Temperate"
"171","RDU","KRDU","Raleigh Durham International Airport",35.87760162,-78.78749847,"Temperate"
"172","CGQ","ZYCC","Longjia Airport",43.99620056,125.6849976,"Temperate"
"173","PER","YPPH","Perth International Airport",-31.94029999,115.9670029,"Temperate"
"174","AEP","SABE","Jorge Newbery Airpark",-34.5592,-58.4156,"Temperate"
"175","OAK","KOAK","Metropolitan Oakland International Airport",37.721298,-122.221001,"Temperate"
"176","ADD","HAAB","Addis Ababa Bole International Airport",8.977890015,38.79930115,"Tropical"
"177","TYN","ZBYN","Taiyuan Wusu Airport",37.74689865,112.6279984,"Temperate"
"178","STR","EDDS","Stuttgart Airport",48.68989944,9.221960068,"Temperate"
"179","SMF","KSMF","Sacramento International Airport",38.69540024,-121.5910034,"Temperate"
"180","BHX","EGBB","Birmingham International Airport",52.45389938,-1.748029947,"Temperate"
"181","EZE","SAEZ","Ministro Pistarini International Airport",-34.8222,-58.5358,"Temperate"
"182","OPO","LPPR","Francisco de Sá Carneiro Airport",41.24810028,-8.681389809,"Temperate"
"183","CEB","RPVM","Mactan Cebu International Airport",10.30749989,123.9789963,"Tropical"
"184","KHN","ZSCN","Nanchang Changbei International Airport",28.86499977,115.9000015,"Temperate"
"185","NGO","RJGG","Chubu Centrair International Airport",34.85839844,136.8049927,"Temperate"
"186","CGN","EDDK","Cologne Bonn Airport",50.86589813,7.142739773,"Temperate"
"187","HET","ZBHH","Baita International Airport",40.851398,111.823997,"Temperate"
"188","WNZ","ZSWZ","Wenzhou Longwan International Airport",27.912201,120.851997,"Temperate"
"189","ZUH","ZGSD","Zhuhai Jinwan Airport",22.006399,113.375999,"Tropical"
"190","LPA","GCLP","Gran Canaria Airport",27.93190002,-15.38659954,"Temperate"
"191","AMD","VAAH","Sardar Vallabhbhai Patel International Airport",23.07719994,72.63469696,"Tropical"
"192","LYS","LFLL","Lyon Saint-Exupéry Airport",45.725556,5.081111,"Temperate"
"193","ADB","LTBJ","Adnan Menderes International Airport",38.29240036,27.15699959,"Temperate"
"194","NGB","ZSNB","Ningbo Lishe International Airport",29.82670021,121.461998,"Temperate"
"195","VCE","LIPZ","Venice Marco Polo Airport",45.505299,12.3519,"Temperate"
"196","MCI","KMCI","Kansas City International Airport",39.2976,-94.713898,"Temperate"
"197","HFE","ZSOF","Hefei Luogang International Airport",31.78000069,117.2979965,"Temperate"
"198","KBP","UKBB","Boryspil International Airport",50.34500122,30.8946991,"Temperate"
"199","CNX","VTCC","Chiang Mai International Airport",18.76679993,98.96260071,"Tropical"
"200","UPG","WAAA","Hasanuddin International Airport",-5.061629772,119.5540009,"Tropical"
"201","MTY","MMMY","General Mariano Escobedo International Airport",25.7784996,-100.1070023,"Temperate"
"202","DAC","VGHS","Hazrat Shahjalal International Airport",23.843347,90.397783,"Temperate"
"203","COK","VOCI","Cochin International Airport",10.152,76.401901,"Tropical"
"204","NAP","LIRN","Naples International Airport",40.886002,14.2908,"Temperate"
"205","CNF","SBCF","Tancredo Neves International Airport",-19.62444305,-43.9719429,"Tropical"
"206","SJW","ZBSJ","Shijiazhuang Daguocun International Airport",38.28070068,114.6969986,"Temperate"
"207","CMN","GMMN","Mohammed V International Airport",33.36750031,-7.589970112,"Temperate"
"208","INC","ZLIC","Yinchuan Hedong International Airport",38.322758,106.393214,"Temperate"
"209","TFS","GCTS","Tenerife South Airport",28.0445,-16.5725,"Temperate"
"210","VCP","SBKP","Viracopos International Airport",-23.00740051,-47.1344986,"Tropical"
"211","SHJ","OMSJ","Sharjah International Airport",25.32859993,55.51720047,"Temperate"
"212","SNA","KSNA","John Wayne Airport-Orange County Airport",33.67570114,-117.8679962,"Temperate"
"213","CMB","VCBI","Bandaranaike International Colombo Airport",7.180759907,79.88410187,"Tropical"
"214","CPT","FACT","Cape Town International Airport",-33.96480179,18.60169983,"Temperate"
"215","CTA","LICC","Catania-Fontanarossa Airport",37.466801,15.0664,"Temperate"
"216","MRS","LFML","Marseille Provence Airport",43.43927192,5.221424103,"Temperate"
"217","SAT","KSAT","San Antonio International Airport",29.533701,-98.469803,"Temperate"
"218","RSW","KRSW","Southwest Florida International Airport",26.53619957,-81.75520325,"Temperate"
"219","CLE","KCLE","Cleveland Hopkins International Airport",41.4117012,-81.84980011,"Temperate"
"220","MFM","VMMC","Macau International Airport",22.149599,113.592003,"Tropical"
"221","BAH","OBBI","Bahrain International Airport",26.267295,50.63764,"Temperate"
"222","BKI","WBKK","Kota Kinabalu International Airport",5.937210083,116.0510025,"Tropical"
"223","TLS","LFBO","Toulouse-Blagnac Airport",43.629101,1.36382,"Temperate"
"224","YNT","ZSYT","Yantai Penglai International Airport",37.657222,120.987222,"Temperate"
"225","PIT","KPIT","Pittsburgh International Airport",40.49150085,-80.23290253,"Temperate"
"226","IND","KIND","Indianapolis International Airport",39.7173,-86.294403,"Temperate"
"227","BLQ","LIPE","Bologna Guglielmo Marconi Airport",44.5354,11.2887,"Temperate"
"228","SJU","TJSJ","Luis Munoz Marin International Airport",18.43939972,-66.00180054,"Tropical"
"229","PEN","WMKP","Penang International Airport",5.297140121,100.2770004,"Tropical"
"230","MDE","SKRG","Jose Maria Córdova International Airport",6.16454,-75.4231,"Tropical"
"231","SDU","SBRJ","Santos Dumont Airport",-22.91049957,-43.1631012,"Tropical"
"232","BRS","EGGD","Bristol Airport",51.382702,-2.71909,"Temperate"
"233","ADL","YPAD","Adelaide International Airport",-34.945,138.531006,"Temperate"
"234","GLA","EGPF","Glasgow International Airport",55.871899,-4.43306,"Temperate"
"235","CVG","KCVG","Cincinnati Northern Kentucky International Airport",39.048801,-84.667801,"Temperate"
"236","FAO","LPFR","Faro Airport",37.01440048,-7.965909958,"Temperate"
"237","TIJ","MMTJ","General Abelardo L. Rodríguez International Airport",32.54109955,-116.9700012,"Temperate"
"238","REC","SBRF","Guararapes - Gilberto Freyre International Airport",-8.126489639,-34.92359924,"Tropical"
"239","GOI","VOGO","Dabolim Airport",15.38080025,73.83139801,"Tropical"
"240","PNQ","VAPO","Pune Airport / Lohagaon Air Force Station",18.5821,73.919701,"Tropical"
"241","VLC","LEVC","Valencia Airport",39.4893,-0.481625,"Temperate"
"242","CMH","KCMH","John Glenn Columbus International Airport",39.998001,-82.891899,"Temperate"
"243","BSL","LFSB","EuroAirport Basel-Mulhouse-Freiburg Airport",47.59,7.529167,"Temperate"
"244","THR","OIII","Mehrabad International Airport",35.68920135,51.31340027,"Temperate"
"245","BEY","OLBA","Beirut Rafic Hariri International Airport",33.82089996,35.48839951,"Temperate"
"246","KRK","EPKK","Kraków John Paul II International Airport",50.077702,19.7848,"Temperate"
"247","AMM","OJAI","Queen Alia International Airport",31.72260094,35.99319839,"Temperate"
"248","JJN","ZSQZ","Quanzhou Jinjiang International Airport",24.7964,118.589996,"Temperate"
"249","POA","SBPA","Salgado Filho Airport",-29.99440002,-51.17139816,"Temperate"
"250","KNO","WIMM","Kualanamu International Airport",3.642222,98.885278,"Tropical"
"251","CRL","EBCI","Brussels South Charleroi Airport",50.459202,4.45382,"Temperate"
"252","DMM","OEDF","King Fahd International Airport",26.47120094,49.79790115,"Temperate"
"253","KWL","ZGKL","Guilin Liangjiang International Airport",25.2181,110.039001,"Temperate"
"254","YEG","CYEG","Edmonton International Airport",53.30970001,-113.5800018,"Temperate"
"255","IBZ","LEIB","Ibiza Airport",38.8728981,1.37311995,"Temperate"
"256","NBO","HKJK","Jomo Kenyatta International Airport",-1.319239974,36.92779922,"Tropical"
"257","WUX","ZSWX","Sunan Shuofang International Airport",31.49440002,120.4290009,"Temperate"
"258","BOD","LFBD","Bordeaux-Mérignac Airport",44.8283,-0.715556,"Temperate"
"259","KHH","RCKH","Kaohsiung International Airport",22.577101,120.349998,"Tropical"
"260","ALG","DAAG","Houari Boumediene Airport",36.691002,3.21541,"Temperate"
"261","JOG","WAHH","Adisutjipto International Airport",-7.78818,110.431999,"Tropical"
"262","SVQ","LEZL","Sevilla Airport",37.41799927,-5.893109798,"Temperate"
"263","OGG","PHOG","Kahului Airport",20.8986,-156.429993,"Tropical"
"264","SSA","SBSV","Deputado Luiz Eduardo Magalhães International Airport",-12.9086113,-38.32249832,"Tropical"
"265","RIX","EVRA","Riga International Airport",56.92359924,23.97109985,"Temperate"
"266","MLA","LMML","Malta International Airport",35.857498,14.4775,"Temperate"
"267","KEF","BIKF","Keflavik International Airport",63.985001,-22.6056,"Temperate"
"268","SWA","ZGOW","Jieyang Chaoshan International Airport",23.552,116.5033,"Temperate"
"269","FOR","SBFZ","Pinto Martins International Airport",-3.77628,-38.5326,"Tropical"
"270","MED","OEMA","Prince Mohammad Bin Abdulaziz Airport",24.5534,39.705101,"Temperate"
"271","NTE","LFRS","Nantes Atlantique Airport",47.15319824,-1.610730052,"Temperate"
"272","XNN","ZLXN","Xining Caojiabu Airport",36.5275,102.042999,"Temperate"
"273","ACE","GCRR","Lanzarote Airport",28.945499,-13.6052,"Temperate"
"274","SOF","LBSF","Sofia Airport",42.69669342,23.41143608,"Temperate"
"275","JAX","KJAX","Jacksonville International Airport",30.49410057,-81.68789673,"Temperate"
"276","LCA","LCLK","Larnaca International Airport",34.875099,33.624901,"Temperate"
"277","LJG","ZPLJ","Lijiang Airport",26.68000031,100.2460022,"Temperate"
"278","CHC","NZCH","Christchurch International Airport",-43.48939896,172.5319977,"Temperate"
